spp_gp,kingdom,phylum,class,order,family,species,subpops
bli_marine_v2019,Animalia,Chordata,Aves,Accipitriformes,NA,18,NA
bli_marine_v2019,Animalia,Chordata,Aves,Anseriformes,NA,69,NA
bli_marine_v2019,Animalia,Chordata,Aves,Caprimulgiformes,NA,9,NA
bli_marine_v2019,Animalia,Chordata,Aves,Charadriiformes,NA,249,NA
bli_marine_v2019,Animalia,Chordata,Aves,Ciconiiformes,NA,6,NA
bli_marine_v2019,Animalia,Chordata,Aves,Coraciiformes,NA,28,NA
bli_marine_v2019,Animalia,Chordata,Aves,Cuculiformes,NA,1,NA
bli_marine_v2019,Animalia,Chordata,Aves,Falconiformes,NA,7,NA
bli_marine_v2019,Animalia,Chordata,Aves,Galliformes,NA,5,NA
bli_marine_v2019,Animalia,Chordata,Aves,Gaviiformes,NA,5,NA
bli_marine_v2019,Animalia,Chordata,Aves,Gruiformes,NA,17,NA
bli_marine_v2019,Animalia,Chordata,Aves,Passeriformes,NA,78,NA
bli_marine_v2019,Animalia,Chordata,Aves,Pelecaniformes,NA,46,NA
bli_marine_v2019,Animalia,Chordata,Aves,Phaethontiformes,NA,3,NA
bli_marine_v2019,Animalia,Chordata,Aves,Phoenicopteriformes,NA,3,NA
bli_marine_v2019,Animalia,Chordata,Aves,Podicipediformes,NA,9,NA
bli_marine_v2019,Animalia,Chordata,Aves,Procellariiformes,NA,144,NA
bli_marine_v2019,Animalia,Chordata,Aves,Psittaciformes,NA,1,NA
bli_marine_v2019,Animalia,Chordata,Aves,Sphenisciformes,NA,18,NA
bli_marine_v2019,Animalia,Chordata,Aves,Strigiformes,NA,2,NA
bli_marine_v2019,Animalia,Chordata,Aves,Suliformes,NA,51,NA
conus,Animalia,Mollusca,Gastropoda,NA,NA,545,NA
lobsters,Animalia,Arthropoda,Malacostraca,NA,NA,160,NA
mammals,Animalia,Chordata,Mammalia,Carnivora,NA,42,NA
mammals,Animalia,Chordata,Mammalia,Cetartiodactyla,NA,63,NA
mammals,Animalia,Chordata,Mammalia,Sirenia,NA,4,NA
mangroves,Plantae,Tracheophyta,Liliopsida,NA,NA,2,NA
mangroves,Plantae,Tracheophyta,Magnoliopsida,NA,NA,59,NA
mangroves,Plantae,Tracheophyta,Polypodiopsida,NA,NA,3,NA
marinefish,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,3,NA
marinefish,Animalia,Chordata,Actinopterygii,Perciformes,"Acanthuridae, Blenniidae, Centracanthidae, Chaenopsidae, Chaetodontidae, Clinidae, Dactyloscopidae, Epinephelidae, Istiophoridae, Labridae, Labrisomidae, Pomacanthidae, Scombridae, Sparidae, Tripterygiidae, Xiphiidae",1946,NA
marinefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,132,NA
marinefish,Animalia,Chordata,Myxini,NA,NA,46,NA
reef_forming_corals,Animalia,Cnidaria,Anthozoa,NA,NA,691,NA
reef_forming_corals,Animalia,Cnidaria,Hydrozoa,NA,NA,14,NA
reptiles,Animalia,Chordata,Reptilia,Crocodylia,NA,3,NA
reptiles,Animalia,Chordata,Reptilia,Squamata,NA,51,NA
reptiles,Animalia,Chordata,Reptilia,Testudines,NA,7,NA
seacucumbers,Animalia,Echinodermata,Holothuroidea,NA,NA,127,NA
seagrasses,Plantae,Tracheophyta,Liliopsida,NA,NA,61,NA
sharks_rays_chimaeras,Animalia,Chordata,Chondrichthyes,NA,NA,676,NA
