iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
224,Acipenser naccarii,CR,europe,0.8,CR
225,Acipenser nudiventris,CR,europe,0.8,CR
229,Acipenser stellatus,CR,europe,0.8,CR
230,Acipenser sturio,CR,europe,0.8,CR
232,Acipenser gueldenstaedtii,CR,europe,0.8,CR
235,Acipenser persicus,CR,europe,0.8,CR
907,Alosa immaculata,VU,europe,0.4,VU
2352,Atherina boyeri,LC,mediterranean,0,LC
2352,Atherina boyeri,LC,europe,0,LC
2467,Balaena mysticetus,"NA",europe,NA,NA
2474,Balaenoptera acutorostrata,LC,europe,0,LC
2475,Balaenoptera borealis,EN,europe,0.6,EN
2477,Balaenoptera musculus,EN,europe,0.6,EN
2478,Balaenoptera physalus,VU,mediterranean,0.4,VU
2478,Balaenoptera physalus,NT,europe,0.2,NT
2539,Balistes vetula,DD,europe,NA,DD
3851,Carcharhinus limbatus,DD,mediterranean,NA,DD
3851,Carcharhinus limbatus,DD,europe,NA,DD
3852,Carcharhinus obscurus,DD,mediterranean,NA,DD
3852,Carcharhinus obscurus,DD,europe,NA,DD
3853,Carcharhinus plumbeus,EN,mediterranean,0.6,EN
3853,Carcharhinus plumbeus,EN,europe,0.6,EN
3854,Carcharias taurus,CR,mediterranean,0.8,CR
3854,Carcharias taurus,CR,europe,0.8,CR
3855,Carcharodon carcharias,CR,mediterranean,0.8,CR
3855,Carcharodon carcharias,CR,europe,0.8,CR
4292,Cetorhinus maximus,EN,mediterranean,0.6,EN
4292,Cetorhinus maximus,EN,europe,0.6,EN
5675,Croilia mossambica,LC,pan-africa,0,LC
5675,Croilia mossambica,LC,southern_africa,0,LC
6204,Cystophora cristata,"NA",europe,NA,NA
6229,Dalatias licha,VU,mediterranean,0.4,VU
6229,Dalatias licha,EN,europe,0.6,EN
6335,Delphinapterus leucas,"NA",europe,NA,NA
7135,Eleotris melanosoma,LC,eastern_africa,0,LC
7135,Eleotris melanosoma,LC,pan-africa,0,LC
7135,Eleotris melanosoma,LC,southern_africa,0,LC
7859,Epinephelus marginatus,EN,mediterranean,0.6,EN
7859,Epinephelus marginatus,EN,europe,0.6,EN
8010,Erignathus barbatus,"NA",europe,NA,NA
8097,Eschrichtius robustus,RE,europe,NA,NA
8262,Eunicella verrucosa,NT,mediterranean,0.2,NT
8784,Gadus morhua,LC,europe,0,LC
8951,Gasterosteus aculeatus,LC,europe,0,LC
9250,Globicephala melas,DD,mediterranean,NA,DD
9250,Globicephala melas,DD,europe,NA,DD
9266,Psammogobius biocellatus,LC,eastern_africa,0,LC
9266,Psammogobius biocellatus,LC,pan-africa,0,LC
9461,Grampus griseus,DD,mediterranean,NA,DD
9461,Grampus griseus,DD,europe,NA,DD
9660,Halichoerus grypus,LC,europe,0,LC
10030,Hexanchus griseus,LC,mediterranean,0,LC
10030,Hexanchus griseus,LC,europe,0,LC
10066,Hippocampus erectus,"NA",europe,NA,NA
10069,Hippocampus hippocampus,NT,mediterranean,0.2,NT
10069,Hippocampus hippocampus,DD,europe,NA,DD
10097,Hippoglossus hippoglossus,VU,europe,0.4,VU
10269,Huso huso,CR,europe,0.8,CR
10707,Hyperoodon ampullatus,DD,europe,NA,DD
11030,Knipowitschia caucasica,LC,mediterranean,0,LC
11030,Knipowitschia caucasica,LC,europe,0,LC
11047,Kogia breviceps,"NA",europe,NA,NA
11048,Kogia sima,"NA",europe,NA,NA
11140,Lagenodelphis hosei,"NA",europe,NA,NA
11141,Lagenorhynchus acutus,LC,europe,0,LC
11142,Lagenorhynchus albirostris,LC,europe,0,LC
11200,Lamna nasus,CR,mediterranean,0.8,CR
11200,Lamna nasus,CR,europe,0.8,CR
12419,Lutra lutra,NT,mediterranean,0.2,NT
12419,Lutra lutra,NT,europe,0.2,NT
13006,Megaptera novaeangliae,LC,europe,0,LC
13045,Melanogrammus aeglefinus,LC,europe,0,LC
13232,Mesogobius batrachocephalus,LC,mediterranean,0,LC
13232,Mesogobius batrachocephalus,LC,europe,0,LC
13241,Mesoplodon bidens,DD,europe,NA,DD
13244,Mesoplodon densirostris,DD,europe,NA,DD
13245,Mesoplodon europaeus,DD,europe,NA,DD
13250,Mesoplodon mirus,DD,europe,NA,DD
13273,Metatrichoniscoides celticus,NT,europe,0.2,NT
13653,Monachus monachus,CR,mediterranean,0.8,CR
13653,Monachus monachus,CR,europe,0.8,CR
13704,Monodon monoceros,"NA",europe,NA,NA
14054,Mycteroperca rubra,LC,mediterranean,0,LC
14054,Mycteroperca rubra,LC,europe,0,LC
14264,Myxus capensis,LC,pan-africa,0,LC
14264,Myxus capensis,LC,southern_africa,0,LC
15106,Odobenus rosmarus,"NA",europe,NA,NA
15421,Orcinus orca,DD,europe,NA,DD
15873,Pagrus pagrus,LC,mediterranean,0,LC
15873,Pagrus pagrus,LC,europe,0,LC
16012,Favonigobius reichei,LC,eastern_africa,0,LC
16564,Peponocephala electra,"NA",europe,NA,NA
16781,Petromyzon marinus,LC,europe,0,LC
17013,Phoca vitulina,LC,europe,0,LC
17027,Phocoena phocoena,VU,europe,0.4,VU
18175,Pristis pectinata,"NA",central_africa,NA,NA
18175,Pristis pectinata,CR,mediterranean,0.8,CR
18175,Pristis pectinata,CR,europe,0.8,CR
18376,Proterorhinus marmoratus,LC,europe,0,LC
