"rgn_id","habitat","health","variable","gapfill"
13,"saltmarsh",0.75,"health",1
14,"saltmarsh",0.75,"health",1
16,"saltmarsh",0.75,"health",1
42,"saltmarsh",0.75,"health",1
54,"saltmarsh",0.75,"health",1
59,"saltmarsh",0.75,"health",1
69,"saltmarsh",0.75,"health",1
70,"saltmarsh",0.75,"health",1
71,"saltmarsh",0.75,"health",1
72,"saltmarsh",0.75,"health",1
73,"saltmarsh",0.75,"health",1
76,"saltmarsh",0.75,"health",1
81,"saltmarsh",0.75,"health",1
82,"saltmarsh",0.75,"health",1
102,"saltmarsh",0.75,"health",1
116,"saltmarsh",0.75,"health",1
135,"saltmarsh",0.75,"health",1
137,"saltmarsh",0.75,"health",1
138,"saltmarsh",0.75,"health",1
143,"saltmarsh",0.75,"health",1
151,"saltmarsh",0.75,"health",1
162,"saltmarsh",0.75,"health",1
163,"saltmarsh",0.75,"health",1
171,"saltmarsh",0.75,"health",1
172,"saltmarsh",0.75,"health",1
173,"saltmarsh",0.75,"health",1
174,"saltmarsh",0.75,"health",1
175,"saltmarsh",0.75,"health",1
176,"saltmarsh",0.75,"health",1
177,"saltmarsh",0.75,"health",1
179,"saltmarsh",0.75,"health",1
180,"saltmarsh",0.75,"health",1
181,"saltmarsh",0.75,"health",1
182,"saltmarsh",0.75,"health",1
183,"saltmarsh",0.75,"health",1
184,"saltmarsh",0.75,"health",1
186,"saltmarsh",0.75,"health",1
187,"saltmarsh",0.75,"health",1
188,"saltmarsh",0.75,"health",1
207,"saltmarsh",0.75,"health",1
209,"saltmarsh",0.75,"health",1
218,"saltmarsh",0.75,"health",1
222,"saltmarsh",0.75,"health",1
224,"saltmarsh",0.75,"health",1
5,"saltmarsh",0.75,"health",1
6,"saltmarsh",0.75,"health",1
15,"saltmarsh",0.75,"health",1
18,"saltmarsh",0.75,"health",1
20,"saltmarsh",0.75,"health",1
21,"saltmarsh",0.75,"health",1
40,"saltmarsh",0.75,"health",1
43,"saltmarsh",0.75,"health",1
44,"saltmarsh",0.75,"health",1
46,"saltmarsh",0.75,"health",1
47,"saltmarsh",0.75,"health",1
48,"saltmarsh",0.75,"health",1
49,"saltmarsh",0.75,"health",1
50,"saltmarsh",0.75,"health",1
51,"saltmarsh",0.75,"health",1
52,"saltmarsh",0.75,"health",1
53,"saltmarsh",0.75,"health",1
58,"saltmarsh",0.75,"health",1
61,"saltmarsh",0.75,"health",1
62,"saltmarsh",0.75,"health",1
63,"saltmarsh",0.75,"health",1
64,"saltmarsh",0.75,"health",1
65,"saltmarsh",0.75,"health",1
67,"saltmarsh",0.75,"health",1
68,"saltmarsh",0.75,"health",1
74,"saltmarsh",0.75,"health",1
75,"saltmarsh",0.75,"health",1
80,"saltmarsh",0.75,"health",1
84,"saltmarsh",0.75,"health",1
101,"saltmarsh",0.75,"health",1
106,"saltmarsh",0.75,"health",1
110,"saltmarsh",0.75,"health",1
112,"saltmarsh",0.75,"health",1
120,"saltmarsh",0.75,"health",1
129,"saltmarsh",0.75,"health",1
130,"saltmarsh",0.75,"health",1
131,"saltmarsh",0.75,"health",1
139,"saltmarsh",0.75,"health",1
145,"saltmarsh",0.75,"health",1
153,"saltmarsh",0.75,"health",1
155,"saltmarsh",0.75,"health",1
168,"saltmarsh",0.75,"health",1
178,"saltmarsh",0.75,"health",1
189,"saltmarsh",0.75,"health",1
190,"saltmarsh",0.75,"health",1
191,"saltmarsh",0.75,"health",1
200,"saltmarsh",0.75,"health",1
202,"saltmarsh",0.75,"health",1
203,"saltmarsh",0.75,"health",1
210,"saltmarsh",0.75,"health",1
214,"saltmarsh",0.75,"health",1
223,"saltmarsh",0.75,"health",1
