country,year,value,unit,sector,data_source
Bahrain,1998,0,persons (1),mmw,O’Connor et al 2009
Bahrain,2008,7,persons (1),mmw,O’Connor et al 2009
Benin,1998,0,persons (1),mmw,O’Connor et al 2009
Benin,2008,0,persons (1),mmw,O’Connor et al 2009
Canary Islands,1998,943,persons (1),mmw,O’Connor et al 2009
Canary Islands,2008,576,persons (1),mmw,O’Connor et al 2009
Egypt,1998,9,persons (1),mmw,O’Connor et al 2009
Egypt,2008,33,persons (1),mmw,O’Connor et al 2009
Eritrea,1998,0,persons (1),mmw,O’Connor et al 2009
Eritrea,2008,0,persons (1),mmw,O’Connor et al 2009
Gabon,1998,0,persons (1),mmw,O’Connor et al 2009
Gabon,2008,0,persons (1),mmw,O’Connor et al 2009
The Gambia,1998,0,persons (1),mmw,O’Connor et al 2009
The Gambia,2008,5,persons (1),mmw,O’Connor et al 2009
Kenya,1998,0,persons (1),mmw,O’Connor et al 2009
Kenya,2008,0,persons (1),mmw,O’Connor et al 2009
Madagascar,1998,4,persons (1),mmw,O’Connor et al 2009
Madagascar,2008,15,persons (1),mmw,O’Connor et al 2009
Mauritania,1998,0,persons (1),mmw,O’Connor et al 2009
Mauritania,2008,0,persons (1),mmw,O’Connor et al 2009
Mauritius,1998,0,persons (1),mmw,O’Connor et al 2009
Mauritius,2008,20,persons (1),mmw,O’Connor et al 2009
Mayotte,1998,0,persons (1),mmw,O’Connor et al 2009
Mayotte,2008,9,persons (1),mmw,O’Connor et al 2009
Morocco,1998,0,persons (1),mmw,O’Connor et al 2009
Morocco,2008,0,persons (1),mmw,O’Connor et al 2009
Mozambique,1998,0,persons (1),mmw,O’Connor et al 2009
Mozambique,2008,8,persons (1),mmw,O’Connor et al 2009
Namibia,1998,7,persons (1),mmw,O’Connor et al 2009
Namibia,2008,41,persons (1),mmw,O’Connor et al 2009
Oman,1998,4,persons (1),mmw,O’Connor et al 2009
Oman,2008,7,persons (1),mmw,O’Connor et al 2009
Réunion,1998,0,persons (1),mmw,O’Connor et al 2009
Réunion,2008,3,persons (1),mmw,O’Connor et al 2009
São Tomé and Príncipe,1998,0,persons (1),mmw,O’Connor et al 2009
São Tomé and Príncipe,2008,0,persons (1),mmw,O’Connor et al 2009
Senegal,1998,0,persons (1),mmw,O’Connor et al 2009
Senegal,2008,0,persons (1),mmw,O’Connor et al 2009
Seychelles,1998,0,persons (1),mmw,O’Connor et al 2009
Seychelles,2008,0,persons (1),mmw,O’Connor et al 2009
South Africa,1998,481,persons (1),mmw,O’Connor et al 2009
South Africa,2008,535,persons (1),mmw,O’Connor et al 2009
Tanzania,1998,14,persons (1),mmw,O’Connor et al 2009
Tanzania,2008,19,persons (1),mmw,O’Connor et al 2009
Croatia,1998,0,persons (1),mmw,O’Connor et al 2009
Croatia,2008,0,persons (1),mmw,O’Connor et al 2009
Cyprus,1998,0,persons (1),mmw,O’Connor et al 2009
Cyprus,2008,0,persons (1),mmw,O’Connor et al 2009
Denmark,1998,0,persons (1),mmw,O’Connor et al 2009
Denmark,2008,0,persons (1),mmw,O’Connor et al 2009
England,1998,6,persons (1),mmw,O’Connor et al 2009
England,2008,11,persons (1),mmw,O’Connor et al 2009
Faroe Islands,1998,0,persons (1),mmw,O’Connor et al 2009
Faroe Islands,2008,0,persons (1),mmw,O’Connor et al 2009
France,1998,1,persons (1),mmw,O’Connor et al 2009
France,2008,6,persons (1),mmw,O’Connor et al 2009
Germany,1998,0,persons (1),mmw,O’Connor et al 2009
Germany,2008,0,persons (1),mmw,O’Connor et al 2009
Gibraltar,1998,22,persons (1),mmw,O’Connor et al 2009
Gibraltar,2008,41,persons (1),mmw,O’Connor et al 2009
Greece,1998,4,persons (1),mmw,O’Connor et al 2009
Greece,2008,4,persons (1),mmw,O’Connor et al 2009
Greenland,1998,3,persons (1),mmw,O’Connor et al 2009
Greenland,2008,4,persons (1),mmw,O’Connor et al 2009
Iceland,1998,35,persons (1),mmw,O’Connor et al 2009
Iceland,2008,132,persons (1),mmw,O’Connor et al 2009
Ireland,1998,205,persons (1),mmw,O’Connor et al 2009
Ireland,2008,135,persons (1),mmw,O’Connor et al 2009
Italy,1998,6,persons (1),mmw,O’Connor et al 2009
Italy,2008,17,persons (1),mmw,O’Connor et al 2009
Monaco,1998,0,persons (1),mmw,O’Connor et al 2009
Monaco,2008,0,persons (1),mmw,O’Connor et al 2009
Norway,1998,26,persons (1),mmw,O’Connor et al 2009
Norway,2008,41,persons (1),mmw,O’Connor et al 2009
Portugal ‐ Azores Islands,1998,11,persons (1),mmw,O’Connor et al 2009
Portugal ‐ Azores Islands,2008,46,persons (1),mmw,O’Connor et al 2009
Portugal – Madeira Archipegalo,1998,0,persons (1),mmw,O’Connor et al 2009
Portugal – Madeira Archipegalo,2008,69,persons (1),mmw,O’Connor et al 2009
Portugal ‐ Mainland,1998,2,persons (1),mmw,O’Connor et al 2009
Portugal ‐ Mainland,2008,67,persons (1),mmw,O’Connor et al 2009
Scotland,1998,114,persons (1),mmw,O’Connor et al 2009
Scotland,2008,258,persons (1),mmw,O’Connor et al 2009
Slovenia,1998,0,persons (1),mmw,O’Connor et al 2009
