"area_name","rgn_num"
"Albania",8
"Cambodia",116
"Cuba",192
"Galapagos Isl. (Ecuador)",219
"Indonesia (Central)",937
"Mozambique",508
"Slovenia",705
"Latvia",428
"Prince Edward Isl. (South Africa)",711
"Trindade & Martim Vaz Isl. (Brazil)",77
"Sri Lanka",144
"Dominican Republic",214
"Greenland (Denmark)",304
"Italy (mainland)",380
"Malaysia (Peninsula East)",460
"Nicaragua (Pacific)",950
"Russia (Kara Sea)",912
"Tuvalu",798
"Channel Isl. (UK)",830
"Ascension Isl. (UK)",855
"Australia",36
"Easter Isl. (Chile)",153
"Chile (mainland)",152
"Grenada",308
"Jamaica",388
"Malaysia (Peninsula West)",459
"Nigeria",566
"Russia (Laptev to Chukchi Sea)",913
"Ukraine",804
"St Barthelemy (France)",904
"China",156
"Ecuador (mainland)",218
"Guadeloupe  (France)",312
"Malaysia (Sabah)",461
"Niue (New Zealand)",570
"Jan Mayen Isl. (Norway)",579
"United Arab Emirates",784
"St Martin (France)",905
"Azores Isl. (Portugal)",622
"Saba and Sint Eustatius (Netherlands)",908
"Bahamas",44
"St Paul & Amsterdam Isl. (France)",895
"Guam (USA)",316
"Japan (Daito Islands)",393
"Malaysia (Sarawak)",463
"Norfolk Isl. (Australia)",574
"Saint Helena (UK)",654
"United Arab Emirates (Fujairah)",968
"Egypt (Mediterranean)",933
"Christmas Isl. (Australia)",162
"Bahrain",48
"Guatemala (Caribbean)",935
"Japan (main islands)",390
"Maldives",462
"Northern Marianas (USA)",580
"Saint Kitts & Nevis",659
"Egypt (Red Sea)",934
"United Kingdom (UK)",826
"Clipperton Isl. (France)",898
"St Paul and St. Peter Archipelago (Brazil)",970
"Cocos (Keeling) Isl. (Australia)",166
"El Salvador",222
"Guatemala (Pacific)",936
"Malta",470
"Norway",578
"Saint Lucia",662
"Balearic Islands (Spain)",903
"Sudan",736
"Uruguay",858
"Japan (Ogasawara Islands)",971
"Bangladesh",50
"Colombia (Caribbean)",927
"Equatorial Guinea",226
"Guinea",324
"Oman",512
"Marshall Isl.",584
"Saint Pierre & Miquelon (France)",666
"Suriname",740
"USA (Alaska, Arctic)",958
"Jarvis Isl. (USA)",845
"Barbados",52
"Eritrea",111
"Colombia (Pacific)",928
"Martinique (France)",474
"Oman (Musandam)",911
"Svalbard Isl. (Norway)",744
"Guinea-Bissau",624
"Saint Vincent & the Grenadines",670
"USA (Alaska, Subarctic)",959
"Johnston Atoll (USA)",396
"Belize",84
"Juan Fernandez Islands (Chile)",155
"Congo (ex-Zaire)",180
"Faeroe Isl. (Denmark)",234
"Haiti",332
"Mauritius",480
"Palau",585
"Sao Tome & Principe",678
"Sweden (West Coast)",915
"USA (Gulf of Mexico)",852
"Algeria",12
"Solomon Isl.",90
"Cameroon",120
"Gambia",270
"Indonesia (Eastern)",361
"Lebanon",422
"Puerto Rico (USA)",630
"Trinidad & Tobago",780
"Curaçao (Netherlands)",906
"Mozambique Channel Isl. (France)",251
"Mayotte (France)",175
"Congo, R. of",178
"Benin",204
"Falkland Isl. (UK)",238
"Sardinia (Italy)",902
"Kenya",404
"Syria",760
"USA (West Coast)",848
"Hawaii Main Islands (USA)",842
"Palmyra Atoll & Kingman Reef (USA)",844
"Bermuda (UK)",60
"Fernando de Noronha (Brazil)",969
"Taiwan",157
"Cook Islands",184
"Mexico (Atlantic)",944
"Panama (Caribbean)",951
"Saudi Arabia (Persian Gulf)",684
"Hawaii Northwest Islands (USA)",488
"US Virgin Isl.",850
"Kerguelen Isl. (France)",897
"Fiji",242
"Corsica (France)",899
"Mexico (Pacific)",945
"Vanuatu",548
"Panama (Pacific)",952
"Saudi Arabia (Red Sea)",683
"Tanzania",834
"Bonaire (Netherlands)",907
"Kermadec Isl. (New Zealand)",555
"Heard & McDonald Isl. (Australia)",334
"Bosnia & Herzegovina",70
"Costa Rica (Caribbean)",929
"Finland",246
"Kiribati (Gilbert Islands)",941
"Honduras (Caribbean)",921
"Micronesia (Federated States of)",583
"Papua New Guinea",598
"Senegal",686
"Venezuela",862
"Thailand (Andaman Sea)",956
