FAO_name,exclude ,alias,Taxon_code,family,notes,notes_2
[Chondracanthus chamissoi],0.8,NA,AL,Algae,seaweed: human food/carageenan," - non-food use determined (some for food and carageenan): ""This species is of economic importance because it is edible and used for carrageenan production."" [source](https://www.researchgate.net/publication/251407321_Cultivation_of_the_red_alga_Chondracanthus_chamissoi_Sexual_reproduction_and_seedling_production_in_culture_under_controlled_conditions)
 - food use deteremined: ""In addition to its commercialization for the extraction of carrageenan, there is an increasing demand for human consumption in Asia"" [source](https://www.researchgate.net/publication/226813687_Chondracanthus_chamissoi_Rhodophyta_Gigartinales_in_northern_Chile_Ecological_aspects_for_management_of_wild_populations)
 - ""On the coasts of Peru, the red seaweed known as yuyo (Chondracanthus chamissoi) is dried and then sold in the inland regions where it is incorporated into soups."" [source](https://www.slowfood.com/the-world-ocean-day-vegetables-of-the-sea-and-their-role-in-saving-the-environment/)
 - 80% proportion determined by best guess."
[Porphyra columbina],0.01,NA,AL,Algae,seaweed: human food,"  - food use determined using New Zealand Gov (Porphyra columbina is also known as karengo indicated as a high value food algae) [source](https://teara.govt.nz/en/seaweed/page-4) 
  - Seaweed and Man: [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22) 
  - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
  - 1% proportion determined by best guess."
[Spirulina maxima],0.3,NA,AL,Algae,seaweed: human food/animal feed," - non-food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - food use determined: It has been produced commercially for the last 30 years for food and specialty feeds. Currently, more than 70 per cent of Spirulina market is for human consumption, mainly as health food because of its rich content of protein, essential amino acids, minerals, vitamins, and essential fatty acids. [source](https://www.sciencedirect.com/science/article/pii/B9780128007761000194)
 - 30% proportion determined [source](https://www.sciencedirect.com/science/article/pii/B9780128007761000194.)"
Aquatic plants nei,1,NA,AL,Algae,seaweed: non-human food," - non-food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - 100% proportion determined based on best guess (the most important seaweed species are all listed)"
Babberlocks,0,NA,AL,Algae,seaweed: human food," - food use determined using FAO [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm; also called Alaria esculenta: https://en.wikipedia.org/wiki/Alaria_esculenta)
 - Scientific name: Alaria esculenta
 - Common name: badderlocks, dabberlocks, winged kelp
 - 0% proportion based on FAO link."
Bright green nori,0.01,NA,AL,Algae,seaweed mixed: animal feed/fertilizer/human food," - food use determined using Seaweed and Man (Green nori indicated as an important algae for food) [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source}(http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess."
Dark green nori,0.01,NA,AL,Algae,seaweed mixed: animal feed/fertilizer/human food," - food use determined using Seaweed and Man (Green nori indicated as an important algae for food): [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess."
Sea lettuces nei,0.5,NA,AL,Algae,seaweed: human food/aquarium trade feed," - food and non-food use determined: https://en.wikipedia.org/wiki/Sea_lettuce [source](https://caseagrant.ucsd.edu/seafood-profiles/sea-lettuce-0)
 - Scientific name: Ulva
 - Common name: sea lettuce
 - 50% proportion based on best guess."
Brown seaweeds,0.5,NA,AL,Algae,seaweed: human food/alginate," - food and non-food use determined using FAO; ""The main uses of brown seaweeds are as foods and as the raw material for the extraction of the hydrocolloid, alginate."" ""There is also a market for fresh seaweed as a feed for abalone. In Australia, the brown seaweed Macrocystis pyrifera and the red seaweed Gracilaria edulis have been used."": [source](http://www.fao.org/3/a-y4765e.pdf)
 - 50% proportion determined by best guess."
Caulerpa seaweeds,0.01,NA,AL,Algae,seaweed: human food," - food use determined using FAO manual: [source](http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm AND http://www.fao.org/3/a-y4765e.pdf)
 - 1% proportion determined by best guess: ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)"
[Meristotheca senegalense],0,NA,AL,Algae,seaweed: human food," - Type of red macroalgae with nutritional value for humans: [source](https://academicjournals.org/journal/AJFS/article-full-text/376F45B62073)
 - 0% proportion determined by article referenced above."
Dulse,0.1,NA,AL,Algae,seaweed: human food/abalone feed," - food use determined: [source](https://www.sciencedirect.com/science/article/pii/B9780124186972000131) [source](FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm, http://www.fao.org/3/a-y4765e.pdf)
 - fish feed use determined using FAO:[source](http://www.fao.org/3/a-y4765e.pdf) 
 - ""Pacific dulse (Palmaria mollis) has been found to be a valuable food for the red abalone, Haliotis rufescens, and development of land-based cultivation has been undertaken with a view to producing commercial quantities of the seaweed.""
 - Scientific name: Palmaria palmata
 - Common name: Dulse
 - 10% proportion determined by best guess."
Elkhorn sea moss,0.99,NA,AL,Algae,seaweed: mixed use/carageenan," - non-food use, primary carageenan use determined using Buschmann et al (also Kappaphycus alvarezii): [source](https://www.tandfonline.com/doi/full/10.1080/09670262.2017.1365175), [source](https://en.wikipedia.org/wiki/Kappaphycus_alvarezii)
 - food use (whole food supplement): [source](https://www.mdpi.com/2072-6643/9/11/1261/htm)
 - ""The rapid growth in the farming of tropical seaweed species (Kappaphycus alvarezii and Eucheuma spp.) in Indonesia as raw material for carrageenan extraction has been the major contributor to growth in farmed aquatic plant production in the recent past."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Kappaphycus alvarezii
 - Common name: Elkhorn sea moss 
 - 99% proportion determined by best guess."
