"","sciname","common","SpecCode","Resilience"
"1","Ablennes hians","Flat needlefish",972,"Medium"
"2","Acanthistius brasilianus","Argentine seabass",351,"Medium"
"3","Acanthocardia tuberculata","Tuberculate cockle",NA,NA
"4","Acanthocybium solandri","Wahoo",89,"Medium"
"5","Acanthopagrus berda","Goldsilk seabream",5526,"Medium"
"6","Acanthopagrus bifasciatus","Twobar seabream",4543,"Medium"
"7","Acanthopagrus schlegelii","Blackhead seabream",6531,"Medium"
"8","Acanthurus monroviae","Monrovia doctorfish",1800,"Medium"
"9","Acetes japonicus","Akiami paste shrimp",NA,"High"
"10","Achirus mazatlanus","Mazatlan sole",10429,"High"
"11","Aequipecten opercularis","Queen scallop",NA,NA
"12","Aetobatus narinari","Spotted eagle ray",1250,"Very low"
"13","Aetomylaeus maculatus","Mottled eagle ray",12594,"Low"
"14","Aetomylaeus nichofii","Banded eagle ray",10120,NA
"15","Alectis alexandrina","Alexandria pompano",1888,"Medium"
"16","Alectis indica","Indian threadfish",10,"Medium"
"17","Alopias superciliosus","Bigeye thresher",2534,"Low"
"18","Alopias vulpinus","Thresher",2535,"Low"
"19","Alosa fallax","Twaite shad",5355,NA
"20","Alosa immaculata","Pontic shad",105,"Medium"
"21","Alosa pseudoharengus","Alewife",1583,"Medium"
"22","Alosa sapidissima","American shad",1584,"Low"
"23","Amblygaster sirm","Spotted sardinella",1501,"High"
"24","Ammodytes personatus","Pacific sandlance",487,"High"
"25","Anadara tuberculosa","Pustulose ark",NA,NA
"26","Anarhichas denticulatus","Northern wolffish",3810,"Low"
"27","Anarhichas lupus","Atlantic wolffish",2501,"Low"
"28","Anarhichas minor","Spotted wolffish",3811,"Low"
"29","Anchoa nasus","Longnose anchovy",1163,"High"
"30","Anodontostoma chacunda","Chacunda gizzard shad",1619,"High"
"31","Anoplopoma fimbria","Sablefish",512,"Very low"
"32","Apostichopus japonicus","Japanese sea cucumber",NA,NA
"33","Aprion virescens","Green jobfish",84,"Medium"
"34","Apsilus fuscus","African forktail snapper",86,"Medium"
"35","Arca zebra","Turkey wing",NA,NA
"36","Archosargus probatocephalus","Sheepshead",441,"Medium"
"37","Arctica islandica","Ocean quahog",NA,NA
"38","Arctoscopus japonicus","Japanese sandfish",463,"Medium"
"39","Argopecten gibbus","Calico scallop",NA,NA
"40","Argopecten irradians","Atlantic bay scallop",NA,NA
"41","Argopecten purpuratus","Peruvian calico scallop",NA,NA
"42","Argyrops spinifer","King soldier bream",442,NA
"43","Argyrosomus heinii","Arabian sea meagre",14392,"Medium"
"44","Argyrosomus japonicus","Japanese meagre",11979,"Low"
"45","Argyrosomus regius","Meagre",418,"Low"
"46","Ariomma indicum","Indian driftfish",1300,"High"
"47","Aristaeopsis edwardsiana","Scarlet shrimp",NA,NA
"48","Aristeus antennatus","Blue and red shrimp",NA,NA
"49","Aristeus varidens","Striped red shrimp",NA,NA
"50","Arripis trutta","Australian salmon",5048,"Medium"
"51","Artemesia longinaris","Argentine stiletto shrimp",NA,NA
"52","Aspistor quadriscutis","Bressou sea catfish",956,"Medium"
"53","Asterias rubens","Red starfish",NA,NA
"54","Atheresthes evermanni","Kamchatka flounder",518,"Low"
"55","Atheresthes stomias","Arrowtooth flounder",517,"Low"
"56","Atherina boyeri","Big-scale sand smelt",1696,"Medium"
"57","Atrobucca nibe","Blackmouth croaker",941,"Medium"
"58","Atule mate","Yellowtail scad",1893,"High"
"59","Aulacomya atra","Chilean ribbed mussel",NA,NA
"60","Auxis rochei","Bullet tuna",93,"Medium"
"61","Auxis thazard","Frigate tuna",94,NA
"62","Bagre bagre","Coco sea catfish",958,"Low"
"63","Balistes capriscus","Grey triggerfish",7327,"Medium"
"64","Balistes polylepis","Finescale triggerfish",4276,"Low"
"65","Belone belone","Garfish",47,"Medium"
"66","Beryx splendens","Splendid alfonsino",1320,"Low"
"67","Boops boops","Bogue",203,"Medium"
"68","Boreogadus saida","Polar cod",319,"Medium"
"69","Brachydeuterus auritus","Bigeye grunt",400,"Medium"
"70","Brama australis","Southern rays bream",54793,"Low"
"71","Brama brama","Atlantic pomfret",391,"Low"
"72","Branchiostegus japonicus","Horsehead tilefish",4593,"Medium"
"73","Bregmaceros mcclellandi","Unicorn cod",8421,"High"
"74","Brevoortia patronus","Gulf menhaden",1589,"Medium"
"75","Brevoortia pectinata","Argentine menhaden",1590,"High"
"76","Brevoortia tyrannus","Atlantic menhaden",1592,"Medium"
"77","Brotula barbata","Bearded brotula",486,"Medium"
"78","Brotula clarkae","Pacific bearded brotula",8275,"High"
"79","Buccinum undatum","Whelk",NA,NA
"80","Buglossidium luteum","Solenette",53,"Medium"
"81","Caesio cuning","Redbelly yellowtail fusilier",919,"Medium"
"82","Callinectes arcuatus","Arched swimming crab",NA,NA
"83","Callinectes sapidus","Blue crab",NA,NA
"84","Callinectes toxotes","Giant swimcrab",NA,NA
"85","Callionymus lyra","Dragonet",23,"Medium"
"86","Callorhinchus milii","Ghost shark",4722,"Low"
"87","Cancer borealis","Jonah crab",NA,NA
"88","Cancer irroratus","Atlantic rock crab",NA,NA
"89","Cancer pagurus","Edible crab",NA,NA
"90","Capros aper","Boarfish",54,"Low"
"91","Carangoides bajad","Orangespotted trevally",1923,"Medium"
"92","Carangoides chrysophrys","Longnose trevally",4441,"Medium"
"93","Caranx crysos","Blue runner",1933,"Medium"
"94","Caranx hippos","Crevalle jack",71,"Medium"
"95","Caranx ignobilis","Giant trevally",1895,"Medium"
"96","Caranx latus","Horse-eye jack",1935,"Low"
"97","Caranx melampygus","Bluefin trevally",1906,"Medium"
"98","Caranx rhonchus","False scad",1899,"Medium"
"99","Caranx ruber","Bar jack",1918,"Medium"
"100","Caranx sexfasciatus","Bigeye trevally",1917,"Medium"
"101","Carcharhinus amblyrhynchos","Blacktail reef shark",861,"Very low"
"102","Carcharhinus falciformis","Silky shark",868,"Low"
"103","Carcharhinus longimanus","Oceanic whitetip shark",875,"Very low"
"104","Carcharhinus melanopterus","Blacktip reef shark",877,"Low"
"105","Carcharhinus sorrah","Spottail shark",884,"Low"
"106","Carcinus maenas","Green crab",NA,NA
"107","Cardium edule","Common edible cockle",NA,NA
"108","Carlarius heudelotii","Smoothmouth sea catfish",4928,"Low"
"109","Cathorops spixii","Madamango sea catfish",960,"Medium"
"110","Caulolatilus princeps","Ocean whitefish",3539,"Low"
"111","Centroberyx affinis","Redfish",14129,"Medium"
"112","Centropomus undecimalis","Common snook",345,"Medium"
"113","Centropristis striata","Black seabass",361,"Medium"
"114","Cephalopholis boenak","Chocolate hind",6444,"Medium"
"115","Cerastoderma edule","Common cockle",NA,NA
"116","Cervimunida johni","Carrot squat lobster",NA,NA
"117","Cetengraulis edentulus","Atlantic anchoveta",547,"Medium"
"118","Cetengraulis mysticetus","Pacific anchoveta",548,"High"
"119","Chaceon maritae","West African geryon",NA,NA
"120","Chaceon notialis","Red crab",NA,NA
"121","Chamelea gallina","Striped venus",NA,NA
"122","Champsocephalus gunnari","Mackerel icefish",474,"Medium"
"123","Chanos chanos","Milkfish",80,"Low"
"124","Cheilopogon melanurus","Atlantic flyingfish",1030,"High"
"125","Chelidonichthys cuculus","Red gurnard",44,"Medium"
"126","Chelidonichthys kumu","Bluefin gurnard",507,"Medium"
"127","Chelidonichthys lucerna","Tub gurnard",1366,"Low"
"128","Chelon auratus","Golden grey mullet",1735,"Medium"
"129","Chiloscyllium arabicum","Arabian carpetshark",5901,"Low"
"130","Chionoecetes japonicus","Red snow crab",NA,NA
"131","Chionoecetes opilio","Snow crab",NA,NA
"132","Chirocentrus dorab","Dorab wolf-herring",6358,"Medium"
"133","Chirocentrus nudus","Whitefin wolf-herring",1452,"Medium"
"134","Chlamys islandica","Iceland scallop",NA,NA
"135","Chloroscombrus chrysurus","Atlantic bumper",385,"Medium"
"136","Chloroscombrus orqueta","Pacific bumper",1937,"High"
"137","Cilus gilberti","Corvina drum",26675,"Medium"
"138","Clupanodon thrissa","Chinese gizzard shad",1608,"High"
"139","Clupeonella cultriventris","Black and Caspian Sea sprat",1470,"Medium"
"140","Coilia dussumieri","Goldspotted grenadier anchovy",625,"High"
"141","Cololabis saira","Pacific saury",303,"High"
"142","Concholepas concholepas","False abalone",NA,NA
"143","Conger conger","European conger",301,"Low"
"144","Conger myriaster","Whitespotted conger",302,"Medium"
"145","Congresox talabonoides","Indian pike conger",11713,"High"
"146","Conodon nobilis","Barred grunt",401,"Medium"
"147","Coregonus albula","Vendace",231,"Medium"
"148","Coregonus autumnalis","Arctic cisco",2669,"Low"
"149","Coregonus muksun","Muksun",12547,"Low"
"150","Coregonus sardinella","Sardine cisco",2678,"Medium"
"151","Coryphaena hippurus","Common dolphinfish",6,"High"
"152","Crangon crangon","Common shrimp",NA,NA
"153","Crassostrea gigas","Pacific cupped oyster",NA,NA
"154","Crassostrea rhizophorae","Mangrove cupped oyster",NA,NA
"155","Crassostrea virginica","American cupped oyster",NA,NA
"156","Cyclopsetta querna","Toothed flounder",13954,"High"
"157","Cyclopterus lumpus","Lumpfish",62,"Low"
"158","Cynoglossus canariensis","Canary tonguesole",4948,"Medium"
"159","Cynoglossus cynoglossus","Bengal tongue sole",5456,"High"
"160","Cynoglossus monodi","Guinean tonguesole",4950,"Medium"
"161","Cynoscion acoupa","Acoupa weakfish",1169,"Medium"
"162","Cynoscion analis","Peruvian weakfish",403,"Medium"
"163","Cynoscion arenarius","Sand weakfish",1170,"Medium"
"164","Cynoscion guatucupa","Stripped weakfish",52918,"Medium"
"165","Cynoscion jamaicensis","Jamaica weakfish",1171,"High"
"166","Cynoscion leiarchus","Smooth weakfish",1173,"Medium"
"167","Cynoscion nebulosus","Spotted weakfish",405,"Medium"
"168","Cynoscion regalis","Squeteague",406,"Medium"
"169","Cynoscion striatus","Striped weakfish",407,"Medium"
"170","Cynoscion virescens","Green weakfish",1178,"Low"
"171","Cypselurus poecilopterus","Yellowing flyingfish",5122,"High"
"172","Decapterus macarellus","Mackerel scad",993,"High"
"173","Decapterus macrosoma","Shortfin scad",1938,"High"
"174","Decapterus maruadsi","Japanese scad",1939,"High"
"175","Decapterus punctatus","Round scad",994,"High"
"176","Decapterus russelli","Indian scad",374,"Medium"
"177","Dentex angolensis","Angolan dentex",440,"Medium"
"178","Dentex dentex","Common dentex",439,"Low"
"179","Dentex gibbosus","Pink dentex",4536,"Medium"
"180","Dentex macrophthalmus","Large-eye dentex",438,"Medium"
"181","Dentex tumifrons","Yellowback seabream",4710,"Medium"
"182","Diapterus rhombeus","Caitipa mojarra",1048,"High"
"183","Dicentrarchus labrax","European seabass",63,"Medium"
"184","Diplectrum formosum","Sand perch",1203,"High"
"185","Diplectrum pacificum","Inshore sand perch",14248,"Medium"
"186","Diplodus annularis","Annular seabream",1752,"Medium"
"187","Diplodus sargus sargus","White seabream",NA,NA
"188","Diplodus vulgaris","Common two-banded seabream",1754,"Medium"
"189","Dissostichus eleginoides","Patagonian toothfish",467,"Low"
"190","Dissostichus mawsoni","Antarctic toothfish",7039,"Low"
"191","Doryteuthis gahi","Patagonian squid",NA,NA
"192","Doryteuthis opalescens","California market squid",NA,NA
"193","Doryteuthis pealeii","Longfin inshore squid",NA,NA
"194","Dosidicus gigas","Jumbo flying squid",NA,"High"
"195","Drepane africana","African sicklefish",455,"Medium"
"196","Drepane punctata","Spotted sicklefish",454,"Medium"
"197","Dussumieria acuta","Rainbow sardine",1453,"High"
"198","Elagatis bipinnulata","Rainbow runner",412,"Medium"
"199","Eledone cirrhosa","Horned octopus",NA,NA
"200","Eleginus gracilis","Saffron cod",315,"Medium"
"201","Eleginus nawaga","Navaga",314,"Medium"
"202","Eleutheronema tetradactylum","Fourfinger threadfin",340,"Medium"
"203","Elops lacerta","West African ladyfish",4959,"Medium"
"204","Elops saurus","Ladyfish",175,"Medium"
"205","Engraulis anchoita","Argentine anchovy",1659,"Medium"
"206","Engraulis capensis","Southern African anchovy",64907,"High"
"207","Engraulis japonicus","Japanese anchovy",1663,"High"
"208","Engraulis mordax","Californian anchovy",1664,"Medium"
"209","Engraulis ringens","Anchoveta",4,"High"
"210","Eopsetta jordani","Petrale sole",4237,"Medium"
"211","Epigonus telescopus","Black cardinal fish",2508,"Very low"
"212","Epinephelus aeneus","White grouper",426,"Medium"
"213","Epinephelus areolatus","Areolate grouper",5367,"Low"
"214","Epinephelus coioides","Orange-spotted grouper",6465,"Low"
"215","Epinephelus goreensis","Dungat grouper",4961,"Medium"
"216","Epinephelus maculatus","Highfin grouper",5350,"Medium"
"217","Epinephelus malabaricus","Malabar grouper",6439,"Low"
"218","Epinephelus marginatus","Dusky grouper",6470,"Low"
"219","Epinephelus morio","Red grouper",17,"Medium"
"220","Epinephelus striatus","Nassau grouper",18,"Low"
"221","Epinephelus tauvina","Greasy grouper",4461,"Low"
"222","Erimacrus isenbeckii","Hair Crab",NA,NA
"223","Escualosa thoracata","White sardine",1522,"High"
"224","Esox lucius","Northern pike",258,"Low"
"225","Ethmalosa fimbriata","Bonga shad",1594,"High"
"226","Ethmidium maculatum","Pacific menhaden",1593,"High"
"227","Etrumeus whiteheadi","Whitehead's round herring",1456,"High"
"228","Euphausia superba","Antarctic krill",NA,NA
"229","Euthynnus affinis","Kawakawa",96,"Medium"
"230","Euthynnus alletteratus","Little tunny",97,"Medium"
"231","Eutrigla gurnardus","Grey gurnard",68,"Medium"
"232","Evibacus princeps","Shield fan lobster",NA,NA
"233","Farfantepenaeus aztecus","Northern brown shrimp",NA,NA
"234","Farfantepenaeus brasiliensis","Redspotted shrimp",NA,NA
"235","Farfantepenaeus brevirostris","Crystal shrimp",NA,NA
"236","Farfantepenaeus californiensis","Yellowleg shrimp",NA,NA
"237","Farfantepenaeus duorarum","Northern pink shrimp",NA,NA
"238","Farfantepenaeus notialis","Southern pink shrimp",NA,NA
"239","Farfantepenaeus paulensis","Sao Paulo shrimp",NA,NA
"240","Farfantepenaeus subtilis","Southern brown shrimp",NA,NA
"241","Fenneropenaeus chinensis","Fleshy prawn",NA,NA
"242","Fenneropenaeus indicus","Indian white prawn",NA,NA
"243","Fenneropenaeus merguiensis","Banana prawn",NA,NA
"244","Fistularia corneta","Pacific cornetfish",8289,NA
"245","Gadus chalcogrammus","Alaska pollock",318,"Low"
"246","Galeoides decadactylus","Lesser African threadfin",341,"Medium"
"247","Genyatremus luteus","Torroto grunt",7535,"Medium"
"248","Genypterus blacodes","Pink cusk-eel",482,"Low"
"249","Genypterus capensis","Kingklip",485,"Low"
"250","Genypterus maculatus","Black cusk-eel",484,"Medium"
"251","Gerres nigri","Guinean striped mojarra",9907,"High"
"252","Gerres oyena","Common silver-biddy",5996,"High"
"253","Glaucostegus granulatus","Granulated guitarfish",8731,"Low"
"254","Glycymeris glycymeris","Dog cockle",NA,NA
"255","Glyptocephalus cynoglossus","Witch flounder",26,"Medium"
"256","Glyptocephalus zachirus","Rex sole",4238,"Low"
"257","Gnathanodon speciosus","Golden trevally",4464,"Medium"
"258","Gobionotothen gibberifrons","Humped rockcod",7041,"Low"
"259","Grammoplites suppositus","Spotfin flathead",28128,"Medium"
"260","Haemulon boschmae","Bronzestripe grunt",1130,"High"
"261","Haemulon plumierii","White grunt",1140,"Medium"
"262","Haemulon steindachneri","Chere-chere grunt",1142,"Medium"
"263","Haliotis fulgens","Green abalone",NA,NA
"264","Haliotis midae","Perlemoen abalone",NA,NA
"265","Haliotis rubra","Blacklip abalone",NA,NA
"266","Haliporoides triarthrus","Knife shrimp",NA,"High"
"267","Harengula clupeola","False herring",1478,"High"
"268","Harpadon nehereus","Bombay-duck",260,"High"
"269","Heterocarpus reedi","Chilean nylon shrimp",NA,NA
"270","Hexagrammos otakii","Fat grrenling",6598,"Medium"
"271","Himantura uarnak","Honeycomb stingray",5507,"Very low"
"272","Hippoglossoides elassodon","Flathead sole",519,"Low"
"273","Hippoglossoides platessoides","American plaice",4239,"Low"
"274","Hippoglossus hippoglossus","Atlantic halibut",1371,"Very low"
"275","Hippoglossus stenolepis","Pacific halibut",514,"Low"
"276","Hippospongia lachne","Sheepswool sponge",NA,NA
"277","Homarus americanus","American lobster",NA,NA
"278","Homarus gammarus","European lobster",NA,NA
"279","Hydrolagus novaezealandiae","Dark ghost shark",13146,"Low"
"280","Hyperoglyphe antarctica","Bluenose warehou",496,"Medium"
"281","Hypoptychus dybowskii","Korean sandlance",488,"High"
"282","Hyporhamphus sajori","Japanese halfbeak",305,"Medium"
"283","Ilisha africana","West African ilisha",1625,"High"
"284","Ilisha elongata","Elongate ilisha",1627,"Medium"
"285","Illex argentinus","Argentine shortfin squid",NA,"High"
"286","Illex illecebrosus","Northern shortfin squid",NA,NA
"287","Isacia conceptionis","Cabinza grunt",397,"Medium"
"288","Isopisthus parvipinnis","Bigtooth corvina",1179,"Medium"
"289","Istiompax indica","Black marlin",217,"Medium"
"290","Istiophorus albicans","Atlantic sailfish",78,"Medium"
"291","Istiophorus platypterus","Indo-Pacific sailfish",77,"Low"
"292","Isurus oxyrinchus","Shortfin mako",752,"Low"
"293","Jasus edwardsii","Red rock lobster",NA,"Medium"
"294","Jasus lalandii","Cape rock lobster",NA,NA
"295","Kajikia audax","Striped marlin",223,NA
"296","Kathetostoma giganteum","Giant stargazer",12920,"Medium"
"297","Katsuwonus pelamis","Skipjack tuna",107,"Medium"
"298","Konosirus punctatus","Dotted gizzard shad",1609,"High"
"299","Lactarius lactarius","False trevally",363,"High"
"300","Laemonema longipes","Longfin codling",2014,"Low"
"301","Lampanyctodes hectoris","Hector's lanternfish",259,"High"
"302","Larimichthys crocea","Large yellow croaker",428,"Medium"
"303","Larimichthys polyactis","Yellow croaker",416,"Medium"
"304","Larimus breviceps","Shorthead drum",1180,"High"
"305","Larimus pacificus","Pacific drum",14009,"High"
"306","Lateolabrax japonicus","Japanese seabass",4589,"Medium"
"307","Lates calcarifer","Barramundi",346,"Medium"
"308","Leiognathus berbis","Berbis ponyfish",7748,"High"
"309","Leiognathus equulus","Common ponyfish",NA,NA
"310","Leiostomus xanthurus","Spot croaker",429,"High"
"311","Lepidonotothen squamifrons","Grey rockcod",7045,"Low"
"312","Lepidopsetta bilineata","Rock sole",24237,"Low"
"313","Lepidopus caudatus","Silver scabbardfish",645,"Medium"
"314","Lepidorhynchus denticulatus","Thorntooth grenadier",8483,"Low"
"315","Leptomelanosoma indicum","Indian threadfin",4469,"Medium"
"316","Lepturacanthus savala","Savalai hairtail",8314,"High"
"317","Lethrinus lentjan","Pink ear emperor",1863,"Medium"
"318","Lethrinus mahsena","Sky emperor",1843,"Medium"
"319","Lethrinus nebulosus","Spangled emperor",1846,"Low"
"320","Lethrinus olivaceus","Longface emperor",1864,"Low"
"321","Leucoraja naevus","Cuckoo ray",4326,"Low"
"322","Lichia amia","Leerfish",692,"Medium"
"323","Limanda aspera","Yellowfin sole",520,"Low"
"324","Limanda ferruginea","Yellowtail flounder",521,"Medium"
"325","Liparis tanakae","Tanaka's snailfish",24115,"Medium"
"326","Lithodes aequispinus","Same-spine stone crab",NA,NA
"327","Lithognathus mormyrus","Sand steenbras",706,"Medium"
"328","Litopenaeus occidentalis","Western white shrimp",NA,NA
"329","Litopenaeus schmitti","Southern white shrimp",NA,NA
"330","Litopenaeus setiferus","Northern white shrimp",NA,NA
"331","Litopenaeus stylirostris","Blue shrimp",NA,NA
"332","Litopenaeus vannamei","Whiteleg shrimp",NA,NA
"333","Littorina littorea","Common periwinkle",NA,NA
"334","Liza haematocheila","So-iny mullet",NA,NA
"335","Liza klunzingeri","Klunzinger's mullet",NA,NA
"336","Lobatus gigas","Pink conch",NA,NA
"337","Lobotes surinamensis","Tripletail",1077,"High"
"338","Lophius americanus","American angler",532,"Low"
"339","Lophius gastrophysus","Blackfin goosefish",1078,"Medium"
"340","Lophius vomerinus","Devil anglerfish",10256,"Low"
"341","Loxechinus albus","Chilean sea urchin",NA,NA
"342","Lutjanus analis","Mutton snapper",1403,"Medium"
"343","Lutjanus argentimaculatus","Mangrove red snapper",1407,"Medium"
"344","Lutjanus argentiventris","Yellow snapper",1408,"Low"
"345","Lutjanus bohar","Two-spot red snapper",1417,"Medium"
"346","Lutjanus campechanus","Northern red snapper",1423,"Medium"
"347","Lutjanus gibbus","Humpback red snapper",265,"Medium"
"348","Lutjanus griseus","Grey snapper",266,"Medium"
"349","Lutjanus guttatus","Spotted rose snapper",152,"Medium"
"350","Lutjanus johnii","John's snapper",264,"Medium"
"351","Lutjanus malabaricus","Malabar blood snapper",162,"Low"
"352","Lutjanus peru","Pacific red snapper",170,"Medium"
"353","Lutjanus purpureus","Southern red snapper",171,"Low"
"354","Lutjanus quinquelineatus","Five-lined snapper",172,"Low"
"355","Lutjanus synagris","Lane snapper",181,"Medium"
"356","Macrodon ancylodon","King weakfish",417,"Medium"
"357","Macroramphosus scolopax","Longspine snipefish",333,"Medium"
"358","Macrourus berglax","Roughhead grenadier",331,"Low"
"359","Macrourus carinatus","Ridge scaled rattail",7137,"Low"
"360","Macruronus magellanicus","Patagonian grenadier",329,"Low"
"361","Macruronus novaezelandiae","Blue grenadier",1825,"Low"
"362","Makaira nigricans","Blue marlin",216,"Medium"
"363","Mallotus villosus","Capelin",252,"Medium"
"364","Marsupenaeus japonicus","Kuruma prawn",NA,NA
"365","Martialia hyadesi","Sevenstar flying squid",NA,NA
"366","Megalaspis cordyla","Torpedo scad",384,"Medium"
"367","Megalops atlanticus","Tarpon",1079,"Low"
"368","Megalops cyprinoides","Indo-Pacific tarpon",227,"Medium"
"369","Megastraea undosa","Wavy turban",NA,NA
"370","Melicertus latisulcatus","Western king prawn",NA,NA
"371","Melicertus plebejus","Eastern king prawn",NA,NA
"372","Mene maculata","Moonfish",390,"High"
"373","Menippe mercenaria","Black stone crab",NA,NA
"374","Menticirrhus americanus","Southern kingcroaker",409,"Medium"
