iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
155630,Paludinella globularis,LC,europe,0,LC
164226,Rumex crispus,LC,europe,0,LC
164308,Verbena officinalis,LC,europe,0,LC
165413,Eryngium maritimum,LC,europe,0,LC
165436,Glaucium flavum,LC,europe,0,LC
172015,Assiminea rolani,DD,europe,NA,DD
172016,Assiminea avilai,DD,europe,NA,DD
200513,Solidago virgaurea,LC,europe,0,LC
202909,Achillea millefolium,LC,europe,0,LC
202921,Althaea officinalis,LC,europe,0,LC
202926,Angelica archangelica,LC,europe,0,LC
202927,Antennaria dioica,LC,europe,0,LC
202932,Artemisia absinthium,LC,europe,0,LC
202953,Drimia maritima,LC,europe,0,LC
202975,Stellaria media,LC,europe,0,LC
202980,Helichrysum italicum,LC,europe,0,LC
202981,Helichrysum stoechas,LC,europe,0,LC
202996,Sedum acre,LC,europe,0,LC
202999,Cochlearia officinalis,LC,europe,0,LC
203223,Geranium sanguineum,LC,europe,0,LC
203235,Iris pumila,DD,europe,NA,DD
203247,Marrubium vulgare,NT,europe,0.2,NT
203351,Laurus nobilis,LC,europe,0,LC
203359,Malva sylvestris,LC,europe,0,LC
203383,Digitalis purpurea,LC,europe,0,LC
203388,Plantago lanceolata,LC,europe,0,LC
203393,Polygonum aviculare,LC,europe,0,LC
203395,Rumex acetosella,LC,europe,0,LC
203483,Solanum dulcamara,LC,europe,0,LC
203487,Crithmum maritimum,LC,europe,0,LC
61645,Atriplex lanfrancoi,EN,europe,0.6,EN
61649,Euphorbia margalidiana,VU,europe,0.4,VU
11470,Leiostyla relevata,NT,europe,0.2,NT
135532,Alburnus hohenackeri,LC,europe,0,LC
135550,Rutilus heckelii,LC,europe,0,LC
135644,Alosa algeriensis,DD,europe,NA,DD
135664,Barbus kubanicus,LC,europe,0,LC
155474,Clathrocaspia gmelinii,DD,europe,NA,DD
155552,Eupaludestrina maltzani,DD,europe,NA,DD
155568,Radix auricularia,LC,europe,0,LC
155597,Ecrobia vitrea,LC,europe,0,LC
155608,Clessiniola variabilis,DD,europe,NA,DD
155610,Eupaludestrina macei,DD,europe,NA,DD
155680,Caspia makarovi,LC,europe,0,LC
155734,Ecrobia ventrosa,LC,europe,0,LC
155778,Hydrobia pontieuxini,DD,europe,NA,DD
155835,Hydrobia acuta,LC,europe,0,LC
155843,Eupaludestrina dalmatica,DD,europe,NA,DD
155854,Mercuria zopissa,NT,europe,0.2,NT
155980,Potamopyrgus antipodarum,NA,europe,NA,NA
155989,Eupaludestrina stagnorum,LC,europe,0,LC
156018,Eupaludestrina rausiana,DD,europe,NA,DD
156116,Clathrocaspia knipowitchii,LC,europe,0,LC
156709,Ponentina subvirescens,LC,europe,0,LC
156718,Ponentina ponentina,LC,europe,0,LC
161816,Campanula vidalii,EN,europe,0.6,EN
161830,Silene velutina,NT,europe,0.2,NT
161836,Phagnalon bennettii,LC,europe,0,LC
161885,Colchicum corsicum,VU,europe,0.4,VU
