country,year,value,unit,sector,data_source
Australia,2000,6649,Persons,mar,oecd sustainable economies
Australia,2001,6694,Persons,mar,oecd sustainable economies
Australia,2002,6679,Persons,mar,oecd sustainable economies
Australia,2003,6768,Persons,mar,oecd sustainable economies
Australia,2004,6858,Persons,mar,oecd sustainable economies
Australia,2005,6794,Persons,mar,oecd sustainable economies
Australia,2006,6847,Persons,mar,oecd sustainable economies
Australia,2007,6873,Persons,mar,oecd sustainable economies
Australia,2008,7884,Persons,mar,oecd sustainable economies
Australia,2009,6855,Persons,mar,oecd sustainable economies
Australia,2010,6837,Persons,mar,oecd sustainable economies
Australia,2011,6868,Persons,mar,oecd sustainable economies
Australia,2012,6896,Persons,mar,oecd sustainable economies
Australia,2013,5894,Persons,mar,oecd sustainable economies
Australia,2014,6925,Persons,mar,oecd sustainable economies
Australia,2015,6927,Persons,mar,oecd sustainable economies
Australia,2016,5940,Persons,mar,oecd sustainable economies
Australia,2017,5932,Persons,mar,oecd sustainable economies
Australia,2018,5930,Persons,mar,oecd sustainable economies
Australia,2019,5928,Persons,mar,oecd sustainable economies
Australia,2020,6921,Persons,mar,oecd sustainable economies
Austria,2000,0,Persons,mar,oecd sustainable economies
Austria,2001,0,Persons,mar,oecd sustainable economies
Austria,2002,0,Persons,mar,oecd sustainable economies
Austria,2003,0,Persons,mar,oecd sustainable economies
Austria,2004,0,Persons,mar,oecd sustainable economies
Austria,2005,0,Persons,mar,oecd sustainable economies
Austria,2006,0,Persons,mar,oecd sustainable economies
Austria,2007,0,Persons,mar,oecd sustainable economies
Austria,2008,0,Persons,mar,oecd sustainable economies
Austria,2009,0,Persons,mar,oecd sustainable economies
Austria,2010,0,Persons,mar,oecd sustainable economies
Austria,2011,0,Persons,mar,oecd sustainable economies
Austria,2012,0,Persons,mar,oecd sustainable economies
Austria,2013,0,Persons,mar,oecd sustainable economies
Austria,2014,0,Persons,mar,oecd sustainable economies
Austria,2015,0,Persons,mar,oecd sustainable economies
Austria,2016,0,Persons,mar,oecd sustainable economies
Austria,2017,1,Persons,mar,oecd sustainable economies
Austria,2018,3,Persons,mar,oecd sustainable economies
Austria,2019,12,Persons,mar,oecd sustainable economies
Austria,2020,35,Persons,mar,oecd sustainable economies
Canada,2000,3764,Persons,mar,oecd sustainable economies
Canada,2001,3846,Persons,mar,oecd sustainable economies
Canada,2002,3834,Persons,mar,oecd sustainable economies
Canada,2003,3747,Persons,mar,oecd sustainable economies
Canada,2004,3470,Persons,mar,oecd sustainable economies
Canada,2005,3386,Persons,mar,oecd sustainable economies
Canada,2006,4234,Persons,mar,oecd sustainable economies
Canada,2007,3915,Persons,mar,oecd sustainable economies
Canada,2008,4219,Persons,mar,oecd sustainable economies
Canada,2009,3375,Persons,mar,oecd sustainable economies
Canada,2010,3190,Persons,mar,oecd sustainable economies
Canada,2011,3102,Persons,mar,oecd sustainable economies
Canada,2012,3067,Persons,mar,oecd sustainable economies
Canada,2013,2977,Persons,mar,oecd sustainable economies
Canada,2014,2952,Persons,mar,oecd sustainable economies
Canada,2015,3081,Persons,mar,oecd sustainable economies
Canada,2016,3180,Persons,mar,oecd sustainable economies
Canada,2017,3280,Persons,mar,oecd sustainable economies
Canada,2018,3351,Persons,mar,oecd sustainable economies
Canada,2019,3569,Persons,mar,oecd sustainable economies
Canada,2020,3676,Persons,mar,oecd sustainable economies
Czechia,2000,0,Persons,mar,oecd sustainable economies
Czechia,2001,0,Persons,mar,oecd sustainable economies
Czechia,2002,0,Persons,mar,oecd sustainable economies
Czechia,2003,0,Persons,mar,oecd sustainable economies
Czechia,2004,0,Persons,mar,oecd sustainable economies
Czechia,2005,0,Persons,mar,oecd sustainable economies
Czechia,2006,0,Persons,mar,oecd sustainable economies
Czechia,2007,0,Persons,mar,oecd sustainable economies
Czechia,2008,0,Persons,mar,oecd sustainable economies
Czechia,2009,0,Persons,mar,oecd sustainable economies
Czechia,2010,0,Persons,mar,oecd sustainable economies
Czechia,2011,0,Persons,mar,oecd sustainable economies
Czechia,2012,0,Persons,mar,oecd sustainable economies
Czechia,2013,0,Persons,mar,oecd sustainable economies
Czechia,2014,0,Persons,mar,oecd sustainable economies
Czechia,2015,0,Persons,mar,oecd sustainable economies
Czechia,2016,0,Persons,mar,oecd sustainable economies
Czechia,2017,0,Persons,mar,oecd sustainable economies
Czechia,2018,0,Persons,mar,oecd sustainable economies
Czechia,2019,0,Persons,mar,oecd sustainable economies
Czechia,2020,0,Persons,mar,oecd sustainable economies
Denmark,2000,123,Persons,mar,oecd sustainable economies
Denmark,2001,110,Persons,mar,oecd sustainable economies
Denmark,2002,90,Persons,mar,oecd sustainable economies
Denmark,2003,145,Persons,mar,oecd sustainable economies
Denmark,2004,142,Persons,mar,oecd sustainable economies
Denmark,2005,153,Persons,mar,oecd sustainable economies
Denmark,2006,150,Persons,mar,oecd sustainable economies
Denmark,2007,160,Persons,mar,oecd sustainable economies
Denmark,2008,186,Persons,mar,oecd sustainable economies
Denmark,2009,173,Persons,mar,oecd sustainable economies
Denmark,2010,159,Persons,mar,oecd sustainable economies
Denmark,2011,152,Persons,mar,oecd sustainable economies
Denmark,2012,170,Persons,mar,oecd sustainable economies
Denmark,2013,168,Persons,mar,oecd sustainable economies
Denmark,2014,148,Persons,mar,oecd sustainable economies
Denmark,2015,172,Persons,mar,oecd sustainable economies
Denmark,2016,173,Persons,mar,oecd sustainable economies
Denmark,2017,188,Persons,mar,oecd sustainable economies
Denmark,2018,170,Persons,mar,oecd sustainable economies
Denmark,2019,162,Persons,mar,oecd sustainable economies
Denmark,2020,25,Persons,mar,oecd sustainable economies
Finland,2000,1717,Persons,mar,oecd sustainable economies
Finland,2001,1667,Persons,mar,oecd sustainable economies
Finland,2002,1598,Persons,mar,oecd sustainable economies
Finland,2003,1297,Persons,mar,oecd sustainable economies
Finland,2004,1274,Persons,mar,oecd sustainable economies
Finland,2005,1273,Persons,mar,oecd sustainable economies
Finland,2006,1049,Persons,mar,oecd sustainable economies
Finland,2007,1176,Persons,mar,oecd sustainable economies
Finland,2008,1070,Persons,mar,oecd sustainable economies
Finland,2009,931,Persons,mar,oecd sustainable economies
Finland,2010,1041,Persons,mar,oecd sustainable economies
Finland,2011,1026,Persons,mar,oecd sustainable economies
Finland,2012,1014,Persons,mar,oecd sustainable economies
Finland,2013,984,Persons,mar,oecd sustainable economies
Finland,2014,897,Persons,mar,oecd sustainable economies
Finland,2015,887,Persons,mar,oecd sustainable economies
Finland,2016,922,Persons,mar,oecd sustainable economies
Finland,2017,847,Persons,mar,oecd sustainable economies
Finland,2018,896,Persons,mar,oecd sustainable economies
Finland,2019,779,Persons,mar,oecd sustainable economies
Finland,2020,789,Persons,mar,oecd sustainable economies
France,2000,18509,Persons,mar,oecd sustainable economies
France,2001,17998,Persons,mar,oecd sustainable economies
France,2002,16705,Persons,mar,oecd sustainable economies
France,2003,16514,Persons,mar,oecd sustainable economies
France,2004,16813,Persons,mar,oecd sustainable economies
France,2005,16652,Persons,mar,oecd sustainable economies
France,2006,17060,Persons,mar,oecd sustainable economies
France,2007,16558,Persons,mar,oecd sustainable economies
France,2008,16524,Persons,mar,oecd sustainable economies
France,2009,16758,Persons,mar,oecd sustainable economies
France,2010,16454,Persons,mar,oecd sustainable economies
France,2011,15961,Persons,mar,oecd sustainable economies
France,2012,14447,Persons,mar,oecd sustainable economies
France,2013,14774,Persons,mar,oecd sustainable economies
France,2014,12817,Persons,mar,oecd sustainable economies
France,2015,12692,Persons,mar,oecd sustainable economies
France,2016,13161,Persons,mar,oecd sustainable economies
France,2017,13980,Persons,mar,oecd sustainable economies
France,2018,15989,Persons,mar,oecd sustainable economies
France,2019,15318,Persons,mar,oecd sustainable economies
France,2020,14466,Persons,mar,oecd sustainable economies
Greece,2000,3462,Persons,mar,oecd sustainable economies
Greece,2001,3961,Persons,mar,oecd sustainable economies
Greece,2002,3990,Persons,mar,oecd sustainable economies
Greece,2003,4057,Persons,mar,oecd sustainable economies
Greece,2004,4625,Persons,mar,oecd sustainable economies
Greece,2005,4668,Persons,mar,oecd sustainable economies
Greece,2006,4762,Persons,mar,oecd sustainable economies
