Source,Species,Taxa,Continent,CulturalGroup,Biological status,Cultural status,Biocultural status
survey,Artemisia afra,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Costus afer,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Euphorbia abyssinica,Plant,Africa,Local community,Data Deficient,Not Threatened,Data deficient
survey,Felis lybica cafra,Mammal,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Festuca macrophylla,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Lippia javanica,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Moringa stenopetala,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Myrcia serrata,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Newbouldia laevis,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Ocotea bullata,Plant,Africa,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Sclerocarya birrea,Plant,Africa,Several socio-cultural groups,Data Deficient,Not Threatened,Data deficient
literature,Synaptolepis kirkii,Plant,Africa,Indigenous People,Data Deficient,Data Deficient,Data deficient
survey,Bambusa bambos,Plant,Asia,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Coelogyne incrassata,Plant,Asia,Indigenous People,Data Deficient,Not Threatened,Data deficient
survey,Corymborkis veratrifolia,Plant,Asia,Indigenous People,Data Deficient,Not Threatened,Data deficient
survey,Dendrobium textile,Plant,Asia,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Dendrobium utile,Plant,Asia,Ethnic group,Data Deficient,Not Threatened,Data deficient
literature/survey,Ficus benghalensis,Plant,Asia,Local community,Data Deficient,Not Threatened,Data deficient
literature/survey,Ficus religiosa,Plant,Asia,Several socio-cultural groups,Data Deficient,Not Threatened,Data deficient
survey,Grammatophyllum speciosum,Plant,Asia,Indigenous People,Data Deficient,Not Threatened,Data deficient
literature,Juglans mandshurica,Plant,Asia,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Juniperus polycarpos,Plant,Asia,Local community,Data Deficient,Not Threatened,Data deficient
survey,Phaius tankervilleae,Plant,Asia,Indigenous People,Data Deficient,Not Threatened,Data deficient
survey,Phalaenopsis amabilis,Plant,Asia,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Pleurotus ostreatus,Plant,Asia,Indigenous People,Data Deficient,Not Threatened,Data deficient
literature,Prosopis cineraria,Plant,Asia,Other socio-cultural group,Data Deficient,Not Threatened,Data deficient
survey,Prunus × yedoensis,Plant,Asia,Other socio-cultural group,Data Deficient,Not Threatened,Data deficient
survey,Rhamnoneuron balansae,Plant,Asia,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Rhynchostylis retusa,Plant,Asia,Other socio-cultural group,Data Deficient,Not Threatened,Data deficient
survey,Tinospora crispa,Plant,Asia,Indigenous People,Data Deficient,Not Threatened,Data deficient
survey,Pinus cembra,Plant,Europe,Ethnic group,Least Concern,Data Deficient,Data deficient
survey,Plantago sempervirens,Plant,Europe,Other socio-cultural group,Data Deficient,Not Threatened,Data deficient
literature,Porphyra umbilicalis,Algae,Europe,Other socio-cultural group,Data Deficient,Not Threatened,Data deficient
literature,Crassostrea virginica,Mollusk,North America,Indigenous People,Data Deficient,Not Threatened,Data deficient
literature,Fasciolaria princeps,Mollusk,North America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Fraxinus americana,Plant,North America,Indigenous People,Near Threatened,Data Deficient,Data deficient
survey,Megapitaria squalida,Mollusk,North America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Photinus palaciosi,Insect,North America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Salvia divinorum,Plant,North America,Indigenous People,Data Deficient,Not Threatened,Data deficient
literature,Strombus galeatus,Mollusk,North America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Eunice viridis,Annelid,Oceania,Indigenous People,Data Deficient,Not Threatened,Data deficient
literature,Piper methysticum,Plant,Oceania,Indigenous People,Data Deficient,Data Deficient,Data deficient
survey,Acanthicus hystrix,Fish,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Anadara tuberculosa,Mollusk,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Butia odorata,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Cyrtochilum revolutum,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Dioscorea coriacea,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Dioscorea polygonoides,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Durvillaea antarctica,Algae,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Erythroxylum coca,Plant,South America,Indigenous People,Data Deficient,Not Threatened,Data deficient
survey,Euterpe oleracea,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Hesperomeles goudotiana,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Heteropsis ecuadorensis,Plant,South America,Ethnic group,Data Deficient,Not Threatened,Data deficient
survey,Manicaria saccifera,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Mansoa alliacea,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Maytenus ebenifolia,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Mugil liza,Fish,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Myracrodruon urundeuva,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Sarcomphalus joazeiro,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
literature,Uncaria tomentosa,Plant,South America,Indigenous People,Data Deficient,Not Threatened,Data deficient
survey,Victoria amazonica,Plant,South America,Local community,Data Deficient,Not Threatened,Data deficient
survey,Autranella congolensis,Plant,Africa,Ethnic group,Endangered,Vulnerable,Endangered
literature,Cercopithecus sclateri,Mammal,Africa,Ethnic group,Endangered,Not Threatened,Endangered
survey,Diceros bicornis,Mammal,Africa,Local community,Critically Endangered,Not Threatened,Endangered
literature,Gorilla gorilla diehli,Mammal,Africa,Ethnic group,Critically Endangered,Vulnerable,Endangered
literature/survey,Loxodonta africana,Mammal,Africa,Ethnic group,Endangered,Vulnerable,Endangered
survey,Warburgia salutaris,Plant,Africa,Ethnic group,Endangered,Not Threatened,Endangered
survey,Acriopsis liliifolia var. liliifolia,Plant,Asia,Indigenous People,Critically Endangered,Not Threatened,Endangered
survey,Falco cherrug,Bird,Asia,Ethnic group,Endangered,Not Threatened,Endangered
literature,Panthera tigris,Mammal,Asia,Indigenous People,Endangered,Vulnerable,Endangered
survey,Rucervus eldii eldii,Mammal,Asia,Indigenous People,Endangered,Not Threatened,Endangered
survey,Saurauia punduana,Plant,Asia,Indigenous People,Critically Endangered,Vulnerable,Endangered
survey,Lynx pardinus,Mammal,Europe,Other socio-cultural group,Endangered,Not Threatened,Endangered
literature/survey,Chelonia mydas,Reptile,Global,Several socio-cultural groups,Endangered,Not Threatened,Endangered
literature/survey,Eretmochelys imbricata,Reptile,Global,Several socio-cultural groups,Critically Endangered,Not Threatened,Endangered
literature,Castanea dentata,Plant,North America,Indigenous People,Critically Endangered,Data Deficient,Endangered
literature,Amburana cearensis,Plant,South America,Local community,Endangered,Not Threatened,Endangered
survey,Araucaria angustifolia,Plant,South America,Several socio-cultural groups,Critically Endangered,Vulnerable,Endangered
survey,Bombus dahlbomii,Insect,South America,Several socio-cultural groups,Endangered,Vulnerable,Endangered
survey,Leopardus jacobita,Mammal,South America,Indigenous People,Endangered,Vulnerable,Endangered
survey,Paubrasilia echinata,Plant,South America,Local community,Endangered,Not Threatened,Endangered
literature,Haliotis iris,Mollusk,Oceania,Indigenous People,Least Concern,Endangered,Endangered
literature,Hippoglossus stenolepis,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Bitis arietans,Reptile,Africa,Ethnic group,Data Deficient,Endangered,Endangered
literature,Boophane disticha,Plant,Africa,Several socio-cultural groups,Data Deficient,Endangered,Endangered
literature,Crocuta crocuta,Mammal,Africa,Ethnic group,Least Concern,Endangered,Endangered
literature,Dendroaspis angusticeps,Reptile,Africa,Ethnic group,Least Concern,Endangered,Endangered
literature,Naja haje,Reptile,Africa,Ethnic group,Least Concern,Endangered,Endangered
survey,Sideroxylon spinosum,Plant,Africa,Ethnic group,Vulnerable,Endangered,Endangered
literature,Stigmochelys pardalis,Reptile,Africa,Ethnic group,Least Concern,Endangered,Endangered
literature,Struthio camelus,Bird,Africa,Ethnic group,Least Concern,Endangered,Endangered
survey,Arenga undulatifolia,Plant,Asia,Indigenous People,Data Deficient,Endangered,Endangered
survey,Diploknema butyracea,Plant,Asia,Indigenous People,Data Deficient,Endangered,Endangered
survey,Dipterocarpus costatus,Plant,Asia,Indigenous People,Vulnerable,Endangered,Endangered
survey,Eugeissona utilis,Plant,Asia,Indigenous People,Data Deficient,Endangered,Endangered
literature,Eusideroxylon zwageri,Plant,Asia,Indigenous People,Vulnerable,Endangered,Endangered
literature,Koompassia excelsa,Plant,Asia,Indigenous People,Data Deficient,Endangered,Endangered
survey,Ophiocordyceps sinensis,Plant,Asia,Ethnic group,Vulnerable,Endangered,Endangered
survey,Paradisaea minor,Bird,Asia,Indigenous People,Least Concern,Endangered,Endangered
survey,Phragmites australis,Plant,Asia,Ethnic group,Least Concern,Endangered,Endangered
survey,Rhododendron anthopogon,Plant,Asia,Ethnic group,Data Deficient,Endangered,Endangered
literature/survey,Sus barbatus,Mammal,Asia,Indigenous People,Vulnerable,Endangered,Endangered
survey,Zanthoxylum acanthopodium,Plant,Asia,Indigenous People,Least Concern,Endangered,Endangered
survey,Acer saccharum,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Acipenser fulvescens,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Acorus americanus,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Alces alces,Mammal,North America,Indigenous People,Least Concern,Endangered,Endangered
literature/survey,Alces americanus,Mammal,North America,Indigenous People,Data Deficient,Endangered,Endangered
survey,Amanita hayalyuy,Fungi,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Amelanchier alnifolia,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Arundinaria gigantea,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature/survey,Betula papyrifera,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Bison bison,Mammal,North America,Indigenous People,Near Threatened,Endangered,Endangered
survey,Branta canadensis,Bird,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Branta canadensis,Bird,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Camassia leichtlinii,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Camassia quamash,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Canis lupus,Mammal,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Carnegiea gigantea,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
literature/survey,Castor canadensis,Mammal,North America,Indigenous People,Least Concern,Endangered,Endangered
survey,Cattleya dowiana,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Clinocardium nuttallii,Mollusk,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Clupea pallasii,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Entosphenus tridentatus,Fish,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Larus glaucescens,Bird,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Lepus townsendii,Mammal,North America,Indigenous People,Least Concern,Endangered,Endangered
literature,Lewisia rediviva,Plant,North America,Indigenous People,Data Deficient,Endangered,Endangered
literature,Malus fusca,Plant,North America,Indigenous People,Least Concern,Endangered,Endangered
