"FAO_name","include","Taxon_code","family","notes","notes_2","X","X.1","X.2"
"[Chondracanthus chamissoi]",0.8,"AL","Algae","seaweed: human food/carageenan"," - non-food use determined (some for food and carageenan): ""This species is of economic importance because it is edible and used for carrageenan production."" [source](https://www.researchgate.net/publication/251407321_Cultivation_of_the_red_alga_Chondracanthus_chamissoi_Sexual_reproduction_and_seedling_production_in_culture_under_controlled_conditions)
 - food use deteremined: ""In addition to its commercialization for the extraction of carrageenan, there is an increasing demand for human consumption in Asia"" [source](https://www.researchgate.net/publication/226813687_Chondracanthus_chamissoi_Rhodophyta_Gigartinales_in_northern_Chile_Ecological_aspects_for_management_of_wild_populations)
 - ""On the coasts of Peru, the red seaweed known as yuyo (Chondracanthus chamissoi) is dried and then sold in the inland regions where it is incorporated into soups."" [source](https://www.slowfood.com/the-world-ocean-day-vegetables-of-the-sea-and-their-role-in-saving-the-environment/)
 - 80% proportion determined by best guess.",NA,NA,""
"[Porphyra columbina]",0.01,"AL","Algae","seaweed: human food","  - food use determined using New Zealand Gov (Porphyra columbina is also known as karengo indicated as a high value food algae) [source](https://teara.govt.nz/en/seaweed/page-4) 
  - Seaweed and Man: [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22) 
  - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
  - 1% proportion determined by best guess.",NA,NA,""
"[Spirulina maxima]",0.3,"AL","Algae","seaweed: human food/animal feed"," - non-food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - food use determined: It has been produced commercially for the last 30 years for food and specialty feeds. Currently, more than 70 per cent of Spirulina market is for human consumption, mainly as health food because of its rich content of protein, essential amino acids, minerals, vitamins, and essential fatty acids. [source](https://www.sciencedirect.com/science/article/pii/B9780128007761000194)
 - 30% proportion determined [source](https://www.sciencedirect.com/science/article/pii/B9780128007761000194.)",NA,NA,""
"Aquatic plants nei",1,"AL","Algae","seaweed: non-human food"," - non-food use determined using Seaweed Industry Association: [source](https://seaweedindustry.com and FAO: http://www.fao.org/docrep/006/y4765e/y4765e0b.htm)
 - 100% proportion determined based on best guess (the most important seaweed species are all listed)",NA,NA,""
"Babberlocks",0,"AL","Algae","seaweed: human food"," - food use determined using FAO [source](http://www.fao.org/docrep/006/y4765e/y4765e0b.htm; also called Alaria esculenta: https://en.wikipedia.org/wiki/Alaria_esculenta)
 - Scientific name: Alaria esculenta
 - Common name: badderlocks, dabberlocks, winged kelp
 - 0% proportion based on FAO link.",NA,NA,""
"Bright green nori",0.01,"AL","Algae","seaweed mixed: animal feed/fertilizer/human food"," - food use determined using Seaweed and Man (Green nori indicated as an important algae for food) [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source}(http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess.",NA,NA,""
"Dark green nori",0.01,"AL","Algae","seaweed mixed: animal feed/fertilizer/human food"," - food use determined using Seaweed and Man (Green nori indicated as an important algae for food): [source](https://link.springer.com/chapter/10.1007/978-3-642-28451-9_22)
 - ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)
 - Scientific name: Porphyra spp. And Pyropia spp.
 - Common name: Nori, Laver
 - 1% proportion determined by best guess.",NA,NA,""
"Sea lettuces nei",0.5,"AL","Algae","seaweed: human food/aquarium trade feed"," - food and non-food use determined: https://en.wikipedia.org/wiki/Sea_lettuce [source](https://caseagrant.ucsd.edu/seafood-profiles/sea-lettuce-0)
 - Scientific name: Ulva
 - Common name: sea lettuce
 - 50% proportion based on best guess.",NA,NA,""
"Brown seaweeds",0.5,"AL","Algae","seaweed: human food/alginate"," - food and non-food use determined using FAO; ""The main uses of brown seaweeds are as foods and as the raw material for the extraction of the hydrocolloid, alginate."" ""There is also a market for fresh seaweed as a feed for abalone. In Australia, the brown seaweed Macrocystis pyrifera and the red seaweed Gracilaria edulis have been used."": [source](http://www.fao.org/3/a-y4765e.pdf)
 - 50% proportion determined by best guess.",NA,NA,""
"Caulerpa seaweeds",0.01,"AL","Algae","seaweed: human food"," - food use determined using FAO manual: [source](http://www.fao.org/docrep/field/003/ac417e/AC417E00.htm AND http://www.fao.org/3/a-y4765e.pdf)
 - 1% proportion determined by best guess: ""Of the 30 million tonnes of farmed seaweedsproduced in 2016 (Table 9), some species (e.g. Undaria pinnatifida, Porphyra spp. and Caulerpa spp., produced in East and Southeast Asia) are produced almost exclusively for direct human consumption, although lowgrade products and scraps from processing factories are used for other purposes, including feed for abalone culture."" [source](http://www.fao.org/3/i9540en/i9540en.pdf)",NA,NA,""
