Reference,Data Type,Study Location,Deg N,Deg E,Study Years,Marsh Habitat,Accretion rate (mm/y),SLR Rate (mm/y)
Andersen et al. 2011,Radiometric,"Ho Bugt, Denmark",55.51075,8.27128,1963-2003,High,1.9,2.2
Anisfeld et al. 1999,Radiometric,"Connecticut, USA",41.27,72.65667,1964-1999,High,3.9,1.6
Anisfeld et al. 1999,Radiometric,"Connecticut, USA",41.26167,-72.73639,1964-1999,High,4,1.6
Bellucci et al. 2007,Radiometric,"Venice Lagoon, Italy",45.52691,12.49078,1900-2000,High,3.54,2.5
Bricker-Urso et al. 1989,Radiometric,"Narragansett Bay, RI, USA",41.62426,-71.32339,1931-1986,High,3.2,2.6
Callaway et al. 2012,Radiometric,"San Francisco Bay, CA, USA",38.06323,-122.37201,1963-2011,High,2.95,Not given
Callaway et al. 2012,Radiometric,"San Francisco Bay, CA, USA",38.06323,-122.37201,1963-2011,High,3,Not given
Chmura & Hung 2004,Radiometric,"Middle Musquodoboit, Nova Scotia, Canada",45.05,-63.13333,1963-2000,High,3.3,2.4
Chmura & Hung 2004,Radiometric,"Saint John, New Brunswick, Canada",45.33333,-65.88333,1963-2000,High,1.73,1
Chmura & Hung 2004,Radiometric,"Buctouche, New Brunswick, Canada",46.51667,-64.71667,1963-2000,High,2.73,2.3
Chmura & Hung 2004,Radiometric,"Yarmouth, Nova Scotia, Canada",43.83333,-66.08333,1963-1995,High,2.8,2.8
Chmura & Hung 2004,Radiometric,"New London, Prince Edward Island, Canada",46.5,-63.55,1963-2000,High,2.87,3.8
Chmura et al. 2001,Radiometric,"Little Lepreau, Bay of Fundy, Canada",45.12518,-66.46903,1963-1996,High,1.5,1.4
Chmura et al. 2001,Radiometric,"Dipper Harbour, Bay of Fundy, Canada",45.12518,-66.46903,1963-1994,High,1.65,1.4
Chmura et al. 2001,Radiometric,"Chance Harbor, Bay of Fundy, Canada",45.09775,-66.42391,1963-1996,High,1.8,1.4
Church et al. 1981,Radiometric,"Lewes, DE, USA",38.79778,-75.18889,1876-1976,High,4.7,2.9
Cochran et al. 1998,Radiometric,"Hunters Island, The Bronx, New York, USA",40.87806,-73.78806,1900-1990,High,1.15,2.8
Cochran et al. 1998,Radiometric,"Goose Creek, The Bronx, New York, USA",40.87389,-73.81833,1900-1990,High,2.3,2.8
Cochran et al. 1998,Radiometric,"Flax Pond, Stony Brook, NY, USA",40.96306,-73.14417,1900-1990,High,1.85,2.8
Cochran et al. 1998,Radiometric,"Mashomack Preserve, Shelter Island, NY, USA",41.04833,-72.29056,1900-1990,High,3,2.8
Cochran et al. 1998,Radiometric,"Alley Pond Park, Queens, New York, USA",40.76167,-73.75111,1900-1990,High,3.15,2.8
Cochran et al. 1998,Radiometric,"Caumsett State Park, Lloyd Neck, NY, USA",40.93917,-73.48389,1900-1990,High,4.1,2.8
