kingdom,phylum,class,order,family,spp_gp,species,subpops
Animalia,Arthropoda,Malacostraca,Decapoda,Enoplometopidae,lobsters,2,0
Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,lobsters,33,0
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,lobsters,34,0
Animalia,Arthropoda,Malacostraca,Decapoda,Polychelidae,lobsters,6,0
Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,lobsters,47,0
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,sturgeons_paddlefishes,10,0
Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,marinefish,74,0
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,marinefish,370,0
Animalia,Chordata,Actinopterygii,Perciformes,Centracanthidae,marinefish,6,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,marinefish,80,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,marinefish,120,0
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,marinefish,82,0
Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae,marinefish,43,0
Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,groupers,143,0
Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,tunas_billfishes_swordfish,6,0
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,wrasses_parrotfishes,522,0
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,marinefish,104,0
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,marinefish,85,0
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,tunas_billfishes_swordfish,47,0
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,seabreams_snappers_grunts,116,0
Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,marinefish,173,0
Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,tunas_billfishes_swordfish,1,0
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,marinefish,134,0
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,bli_marine_v2025,16,0
Animalia,Chordata,Aves,Accipitriformes,Elanidae,bli_marine_v2025,1,0
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,bli_marine_v2025,1,0
