spp_gp,kingdom,phylum,class,order,family,species,subpops
bli_marine_v2025,Animalia,Chordata,Aves,Accipitriformes,NA,18,NA
bli_marine_v2025,Animalia,Chordata,Aves,Anseriformes,NA,71,NA
bli_marine_v2025,Animalia,Chordata,Aves,Caprimulgiformes,NA,9,NA
bli_marine_v2025,Animalia,Chordata,Aves,Cathartiformes,NA,1,NA
bli_marine_v2025,Animalia,Chordata,Aves,Charadriiformes,NA,255,NA
bli_marine_v2025,Animalia,Chordata,Aves,Ciconiiformes,NA,6,NA
bli_marine_v2025,Animalia,Chordata,Aves,Coraciiformes,NA,30,NA
bli_marine_v2025,Animalia,Chordata,Aves,Cuculiformes,NA,1,NA
bli_marine_v2025,Animalia,Chordata,Aves,Falconiformes,NA,7,NA
bli_marine_v2025,Animalia,Chordata,Aves,Galliformes,NA,5,NA
bli_marine_v2025,Animalia,Chordata,Aves,Gaviiformes,NA,5,NA
bli_marine_v2025,Animalia,Chordata,Aves,Gruiformes,NA,18,NA
bli_marine_v2025,Animalia,Chordata,Aves,Passeriformes,NA,81,NA
bli_marine_v2025,Animalia,Chordata,Aves,Pelecaniformes,NA,46,NA
bli_marine_v2025,Animalia,Chordata,Aves,Phaethontiformes,NA,3,NA
bli_marine_v2025,Animalia,Chordata,Aves,Phoenicopteriformes,NA,3,NA
bli_marine_v2025,Animalia,Chordata,Aves,Podicipediformes,NA,9,NA
bli_marine_v2025,Animalia,Chordata,Aves,Procellariiformes,NA,144,NA
bli_marine_v2025,Animalia,Chordata,Aves,Psittaciformes,NA,1,NA
bli_marine_v2025,Animalia,Chordata,Aves,Sphenisciformes,NA,18,NA
bli_marine_v2025,Animalia,Chordata,Aves,Strigiformes,NA,2,NA
bli_marine_v2025,Animalia,Chordata,Aves,Suliformes,NA,50,NA
conus,Animalia,Mollusca,Gastropoda,NA,NA,454,NA
crocodiles_alligators,Animalia,Chordata,Reptilia,Crocodylia,NA,3,NA
groupers,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,143,NA
hagfish,Animalia,Chordata,Myxini,NA,NA,47,NA
lobsters,Animalia,Arthropoda,Malacostraca,NA,NA,122,NA
mammals_marine_and_terrestrial,Animalia,Chordata,Mammalia,Carnivora,NA,30,NA
mammals_marine_only,Animalia,Chordata,Mammalia,Artiodactyla,NA,71,NA
mammals_marine_only,Animalia,Chordata,Mammalia,Carnivora,NA,2,NA
mammals_marine_only,Animalia,Chordata,Mammalia,Sirenia,NA,1,NA
mangroves,Plantae,Tracheophyta,Liliopsida,NA,NA,2,NA
mangroves,Plantae,Tracheophyta,Magnoliopsida,NA,NA,57,NA
mangroves,Plantae,Tracheophyta,Polypodiopsida,NA,NA,3,NA
marinefish,Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,3,NA
marinefish,Animalia,Chordata,Actinopterygii,Perciformes,"Acanthuridae, Blenniidae, Centracanthidae, Chaenopsidae, Chaetodontidae, Clinidae, Dactyloscopidae, Labrisomidae, Pomacanthidae, Tripterygiidae",1137,NA
marinefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,134,NA
reef_forming_corals,Animalia,Cnidaria,Anthozoa,NA,NA,761,NA
reef_forming_corals,Animalia,Cnidaria,Hydrozoa,NA,NA,13,NA
reptiles,Animalia,Chordata,Reptilia,Squamata,NA,50,NA
seabreams_snappers_grunts,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,116,NA
seagrasses,Plantae,Tracheophyta,Liliopsida,NA,NA,61,NA
sharks_rays_chimaeras,Animalia,Chordata,Chondrichthyes,NA,NA,1042,6
sturgeons_paddlefishes,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,10,NA
tunas_billfishes_swordfish,Animalia,Chordata,Actinopterygii,Perciformes,"Istiophoridae, Scombridae, Xiphiidae",54,NA
turtles,Animalia,Chordata,Reptilia,Testudines,NA,5,NA
wrasses_parrotfishes,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,522,NA
