REF_AREA,INDICATOR,SERVICE_TYPE,WEALTH_QUINTILE,RESIDENCE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DATA_SOURCE
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2000,97.97310378690717,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2001,98.01250823819008,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2002,98.05191268947299,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2003,98.09131714075589,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2004,98.1307215920388,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2005,98.1701260433217,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2006,98.20953049460461,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2007,98.24893494588751,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2008,98.28833939717042,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2009,98.32774384845332,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2010,98.36714829973623,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2011,98.40655275101913,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2012,98.44595720230204,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2013,98.48536165358495,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2014,98.52476610486785,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2015,98.56417055615076,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2016,98.60357500743366,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2017,98.64297945871657,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2018,98.68238390999946,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2019,98.72178836128236,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2020,98.76119281256527,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2021,98.80059726384818,WHO/UNICEF Joint Monitoring Programme (2023)
ABW,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2022,98.84000171513108,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2000,20.97091935551984,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2001,20.98234865690147,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2002,22.54133876661759,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2003,24.10033282601973,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2004,25.66623993872788,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2005,27.23918873600312,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2006,28.81226623449389,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2007,30.46653361243257,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2008,32.12870461495901,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2009,33.79895774034272,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2010,35.47747099016639,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2011,37.16457222165002,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2012,38.86030503362288,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2013,40.56485237977798,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2014,42.27840265301255,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2015,44.00130864369009,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2016,45.73360215547169,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2017,47.47761579813055,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2018,49.2341444226923,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2019,51.00348109311077,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2020,52.64900093500631,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2021,54.29858973725204,WHO/UNICEF Joint Monitoring Programme (2023)
AFG,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2022,55.95194128781142,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2000,27.55752432950557,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2001,28.98922289994243,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2002,30.42246886618678,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2003,31.85606059846511,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2004,33.29039089062738,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2005,34.72263783623007,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2006,35.99128294080253,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2007,37.25930501222091,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2008,38.52751035636434,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2009,39.79427077531611,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2010,41.06079232138475,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2011,42.32666544734224,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2012,43.59147248611482,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2013,44.85479221954473,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2014,46.11702996771342,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2015,47.37448260988288,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2016,48.62794133301224,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2017,49.87698296255623,WHO/UNICEF Joint Monitoring Programme (2023)
AGO,WS_PPL_S-ALB,SAN,_T,_T,PCNT,2018,51.12074399581902,WHO/UNICEF Joint Monitoring Programme (2023)
