ID,EEZ,Is retired
0,High Seas,FALSE
8,Albania,FALSE
12,Algeria,FALSE
16,American Samoa,FALSE
24,Angola,FALSE
28,Antigua & Barbuda,FALSE
32,Argentina,FALSE
36,Australia,FALSE
37,Macquarie Isl. (Australia),FALSE
38,Lord Howe Isl. (Australia),FALSE
44,Bahamas,FALSE
48,Bahrain,FALSE
50,Bangladesh,FALSE
52,Barbados,FALSE
56,Belgium,FALSE
60,Bermuda (UK),FALSE
70,Bosnia & Herzegovina,FALSE
74,Bouvet Isl. (Norway),FALSE
76,Brazil (mainland),FALSE
77,Trindade & Martim Vaz Isl. (Brazil),FALSE
84,Belize,FALSE
86,Chagos Archipelago (UK),FALSE
90,Solomon Isl.,FALSE
92,British Virgin Isl. (UK),FALSE
96,Brunei Darussalam,FALSE
100,Bulgaria,FALSE
104,Myanmar,FALSE
111,Eritrea,FALSE
116,Cambodia,FALSE
120,Cameroon,FALSE
132,Cape Verde,FALSE
136,Cayman Isl. (UK),FALSE
144,Sri Lanka,FALSE
152,Chile (mainland),FALSE
153,Easter Isl. (Chile),FALSE
154,Desventuradas Isl. (Chile),FALSE
155,Juan Fernandez Islands (Chile),FALSE
156,China,FALSE
157,Taiwan,FALSE
162,Christmas Isl. (Australia),FALSE
166,Cocos (Keeling) Isl. (Australia),FALSE
174,Comoros Isl.,FALSE
175,Mayotte (France),FALSE
178,"Congo, R. of",FALSE
180,Congo (ex-Zaire),FALSE
184,Cook Islands,FALSE
191,Croatia,FALSE
192,Cuba,FALSE
197,Cyprus (North),FALSE
198,Cyprus (South),FALSE
204,Benin,FALSE
212,Dominica,FALSE
214,Dominican Republic,FALSE
218,Ecuador (mainland),FALSE
219,Galapagos Isl. (Ecuador),FALSE
222,El Salvador,FALSE
226,Equatorial Guinea,FALSE
233,Estonia,FALSE
234,Faeroe Isl. (Denmark),FALSE
238,Falkland Isl. (UK),FALSE
239,South Georgia & Sandwich Isl. (UK),FALSE
242,Fiji,FALSE
246,Finland,FALSE
251,Mozambique Channel Isl. (France),FALSE
252,Tromelin Isl. (France),FALSE
254,French Guiana,FALSE
258,French Polynesia,FALSE
262,Djibouti,FALSE
266,Gabon,FALSE
268,Georgia,FALSE
270,Gambia,FALSE
274,Gaza Strip,FALSE
277,Germany (North Sea),FALSE
278,Germany (Baltic Sea),FALSE
288,Ghana,FALSE
300,Greece (without Crete),FALSE
304,Greenland (Denmark),FALSE
308,Grenada,FALSE
312,Guadeloupe  (France),FALSE
316,Guam (USA),FALSE
324,Guinea,FALSE
328,Guyana,FALSE
332,Haiti,FALSE
334,Heard & McDonald Isl. (Australia),FALSE
344,Hong Kong (China),FALSE
352,Iceland,FALSE
356,India (mainland),FALSE
357,Andaman & Nicobar Isl. (India),FALSE
361,Indonesia (Eastern),FALSE
368,Iraq,FALSE
372,Ireland,FALSE
380,Italy (mainland),FALSE
384,Côte d'Ivoire,FALSE
388,Jamaica,FALSE
390,Japan (main islands),FALSE
393,Japan (Daito Islands),FALSE
396,Johnston Atoll (USA),FALSE
400,Jordan,FALSE
404,Kenya,FALSE
410,Korea (South),FALSE
414,Kuwait,FALSE
422,Lebanon,FALSE
428,Latvia,FALSE
430,Liberia,FALSE
434,Libya,FALSE
440,Lithuania,FALSE
450,Madagascar,FALSE
459,Malaysia (Peninsula West),FALSE
460,Malaysia (Peninsula East),FALSE
461,Malaysia (Sabah),FALSE
462,Maldives,FALSE
463,Malaysia (Sarawak),FALSE
470,Malta,FALSE
474,Martinique (France),FALSE
478,Mauritania,FALSE
480,Mauritius,FALSE
488,Hawaii Northwest Islands (USA),FALSE
500,Montserrat (UK),FALSE
508,Mozambique,FALSE
512,Oman,FALSE
516,Namibia,FALSE
520,Nauru,FALSE
528,Netherlands,FALSE
540,New Caledonia (France),FALSE
548,Vanuatu,FALSE
554,New Zealand,FALSE
