"","sciname","common","SpecCode","Resilience"
"1","Acanthistius brasilianus","Sea bass",351,"Medium"
"2","Acanthocybium solandri","Wahoo",89,"Medium"
"3","Acetes japonicus","Akiami paste shrimp",NA,"High"
"4","Aequipecten opercularis","Queen scallop",NA,NA
"5","Albula vulpes","Bonefish",228,"Low"
"6","Alepocephalus bairdii","Bairds smooth-head",230,"Low"
"7","Alosa immaculata","Pontic shad",105,"Medium"
"8","Alosa pseudoharengus","Alewife",1583,"Medium"
"9","Alosa sapidissima","American shad",1584,"Low"
"10","Ammodytes personatus","Pacific sandeel",487,"High"
"11","Anadara granosa","Blood cockle",NA,NA
"12","Anarhichas lupus","Wolf-fish",2501,"Low"
"13","Anarhichas minor","Spotted wolffish",3811,"Low"
"14","Anodontostoma chacunda","Chacunda gizzard shad",1619,"High"
"15","Anoplopoma fimbria","Sablefish",512,"Very low"
"16","Apostichopus japonicus","Japanese sea cucumber",NA,NA
"17","Arctica islandica","Ocean quahog",NA,NA
"18","Arctoscopus japonicus","Sailfin sandfish",463,"Medium"
"19","Argopecten gibbus","Calico scallop",NA,NA
"20","Argopecten irradians","Atlantic bay scallop",NA,NA
"21","Argopecten purpuratus","Peruvian calico scallop",NA,NA
"22","Argopecten ventricosus","Pacific calico scallop",NA,NA
"23","Argyrops spinifer","King soldierbream",442,"Low"
"24","Argyrosomus hololepidotus","Southern meagre",419,"Very low"
"25","Aristeus antennatus","Blue and red shrimp",NA,NA
"26","Aristeus varidens","Striped red shrimp",NA,NA
"27","Arripis georgianus","Australian ruff",392,"Medium"
"28","Arripis trutta","Eastern Australian salmon",5048,"Medium"
"29","Aspitrigla cuculus","East Atlantic red gurnard",NA,NA
"30","Atheresthes evermanni","Kamchatka flounder",518,"Low"
"31","Atheresthes stomias","Arrowtooth flounder",517,"Low"
"32","Atherina boyeri","Big-scale sand smelt",1696,"Medium"
"33","Atractoscion nobilis","White weakfish",3578,"Low"
"34","Atrobucca nibe","Longfin kob",941,"Medium"
"35","Aulacomya ater","Cholga mussel",NA,NA
"36","Auxis thazard thazard","Frigate tuna",NA,NA
"37","Belone belone","Garpike",47,"Medium"
"38","Boops boops","Bogue",203,"Medium"
"39","Boreogadus saida","Polar cod",319,"Medium"
"40","Brachydeuterus auritus","Bigeye grunt",400,"Medium"
"41","Brama brama","Atlantic pomfret",391,"Low"
"42","Bregmaceros mcclellandi","Spotted codlet",8421,"High"
"43","Brevoortia aurea","Brazilian menhaden",1587,"High"
"44","Brevoortia patronus","Gulf menhaden",1589,"Medium"
"45","Brevoortia tyrannus","Atlantic menhaden",1592,"Medium"
"46","Buccinum undatum","Whelk",NA,NA
"47","Callinectes danae","Dana's swimming crab",NA,NA
"48","Callinectes sapidus","Blue crab",NA,NA
"49","Callorhinchus capensis","Cape elephantfish",167,"Low"
"50","Callorhinchus milii","Ghost shark",4722,"Low"
"51","Cancer borealis","Jonah crab",NA,NA
"52","Cancer irroratus","Atlantic rock crab",NA,NA
"53","Cancer magister","Dungeness crab",NA,NA
"54","Cancer pagurus","Edible crab",NA,NA
"55","Carangoides bajad","Orangespotted trevally",1923,"Medium"
"56","Caranx crysos","Blue runner",1933,"Medium"
