rgn_id,year,completeness_pre_gf,gapfilled,method
82,2018,3/3,0,Data complete
82,2020,3/3,0,Data complete
82,2022,3/3,0,Data complete
84,2018,0/3,1,Used sub-region score
84,2020,0/3,1,Used sub-region score
84,2022,0/3,1,Used sub-region score
151,2018,0/3,1,Used SIDS score
151,2020,0/3,1,Used SIDS score
151,2022,0/3,1,Used SIDS score
200,2018,1/3,1,Used closest year score
200,2020,1/3,0,No gapfill needed
200,2022,1/3,1,Used closest year score
118,2018,0/3,1,Used SIDS score
118,2020,0/3,1,Used SIDS score
118,2022,0/3,1,Used SIDS score
120,2018,3/3,0,Data complete
120,2020,3/3,0,Data complete
120,2022,3/3,0,Data complete
172,2018,2/3,1,Used closest year score
172,2020,2/3,0,No gapfill needed
172,2022,2/3,0,No gapfill needed
250,2018,0/3,1,Used SIDS score
250,2020,0/3,1,Used SIDS score
250,2022,0/3,1,Used SIDS score
16,2018,0/3,1,Used sub-region score
16,2020,0/3,1,Used sub-region score
16,2022,0/3,1,Used sub-region score
110,2018,1/3,0,No gapfill needed
110,2020,1/3,1,Used closest year score
110,2022,1/3,1,Used closest year score
52,2018,0/3,1,Used sub-region score
52,2020,0/3,1,Used sub-region score
52,2022,0/3,1,Used sub-region score
204,2018,2/3,0,No gapfill needed
204,2020,2/3,1,Used closest year score
204,2022,2/3,0,No gapfill needed
124,2018,0/3,1,Used SIDS score
124,2020,0/3,1,Used SIDS score
124,2022,0/3,1,Used SIDS score
59,2018,3/3,0,Data complete
59,2020,3/3,0,Data complete
59,2022,3/3,0,Data complete
164,2018,3/3,0,Data complete
164,2020,3/3,0,Data complete
164,2022,3/3,0,Data complete
99,2018,1/3,0,No gapfill needed
99,2020,1/3,1,Used closest year score
99,2022,1/3,1,Used closest year score
108,2018,0/3,1,Used sub-region score
108,2020,0/3,1,Used sub-region score
108,2022,0/3,1,Used sub-region score
232,2018,0/3,1,Used sub-region score
232,2020,0/3,1,Used sub-region score
232,2022,0/3,1,Used sub-region score
171,2018,1/3,1,Used closest year score
171,2020,1/3,1,Used closest year score
171,2022,1/3,0,No gapfill needed
38,2018,0/3,1,Used intermediate region score
38,2020,0/3,1,Used intermediate region score
38,2022,0/3,1,Used intermediate region score
117,2018,0/3,1,Used SIDS score
117,2020,0/3,1,Used SIDS score
117,2022,0/3,1,Used SIDS score
247,2018,0/3,1,Used sub-region score
247,2020,0/3,1,Used sub-region score
247,2022,0/3,1,Used sub-region score
71,2018,3/3,0,Data complete
71,2020,3/3,0,Data complete
71,2022,3/3,0,Data complete
56,2018,3/3,0,Data complete
56,2020,3/3,0,Data complete
56,2022,3/3,0,Data complete
24,2018,1/3,1,Used closest year score
24,2020,1/3,0,No gapfill needed
24,2022,1/3,1,Used closest year score
197,2018,1/3,0,No gapfill needed
197,2020,1/3,1,Used closest year score
197,2022,1/3,1,Used closest year score
218,2018,2/3,0,No gapfill needed
218,2020,2/3,1,Used closest year score
218,2022,2/3,0,No gapfill needed
113,2018,0/3,1,Used intermediate region score
