kingdom,phylum,class,order,family,spp_gp,species,subpops
Animalia,Arthropoda,Malacostraca,Decapoda,Enoplometopidae,lobsters,2,0
Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,lobsters,34,0
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,lobsters,34,0
Animalia,Arthropoda,Malacostraca,Decapoda,Polychelidae,lobsters,34,0
Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,lobsters,56,0
Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,marinefish,3,0
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,marinefish,74,0
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,marinefish,365,0
Animalia,Chordata,Actinopterygii,Perciformes,Centracanthidae,marinefish,8,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,marinefish,78,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,marinefish,120,0
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,marinefish,81,0
Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae,marinefish,43,0
Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,marinefish,142,0
Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,marinefish,6,0
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,marinefish,519,0
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,marinefish,100,0
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,marinefish,84,0
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,marinefish,43,0
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,marinefish,117,0
Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,marinefish,167,0
Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,marinefish,1,0
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,marinefish,134,0
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,bli_marine_v2020,18,0
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Anseriformes,Anatidae,bli_marine_v2020,69,0
Animalia,Chordata,Aves,Caprimulgiformes,Apodidae,bli_marine_v2020,4,0
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,bli_marine_v2020,5,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,bli_marine_v2020,25,0
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,bli_marine_v2020,2,0
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,bli_marine_v2020,35,0
Animalia,Chordata,Aves,Charadriiformes,Chionidae,bli_marine_v2020,2,0
Animalia,Chordata,Aves,Charadriiformes,Dromadidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Charadriiformes,Glareolidae,bli_marine_v2020,5,0
Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,bli_marine_v2020,10,0
Animalia,Chordata,Aves,Charadriiformes,Jacanidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,bli_marine_v2020,95,0
Animalia,Chordata,Aves,Charadriiformes,Pluvianidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,bli_marine_v2020,6,0
Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,bli_marine_v2020,3,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,bli_marine_v2020,56,0
Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,bli_marine_v2020,7,0
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,bli_marine_v2020,6,0
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,bli_marine_v2020,27,0
Animalia,Chordata,Aves,Coraciiformes,Meropidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Falconiformes,Falconidae,bli_marine_v2020,7,0
Animalia,Chordata,Aves,Galliformes,Megapodiidae,bli_marine_v2020,5,0
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,bli_marine_v2020,5,0
Animalia,Chordata,Aves,Gruiformes,Gruidae,bli_marine_v2020,3,0
Animalia,Chordata,Aves,Gruiformes,Rallidae,bli_marine_v2020,14,0
Animalia,Chordata,Aves,Passeriformes,Acanthizidae,bli_marine_v2020,2,0
Animalia,Chordata,Aves,Passeriformes,Alaudidae,bli_marine_v2020,6,0
Animalia,Chordata,Aves,Passeriformes,Calcariidae,bli_marine_v2020,3,0
Animalia,Chordata,Aves,Passeriformes,Cisticolidae,bli_marine_v2020,3,0
Animalia,Chordata,Aves,Passeriformes,Corvidae,bli_marine_v2020,9,0
Animalia,Chordata,Aves,Passeriformes,Emberizidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Passeriformes,Estrildidae,bli_marine_v2020,3,0
Animalia,Chordata,Aves,Passeriformes,Fringillidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Passeriformes,Furnariidae,bli_marine_v2020,5,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,bli_marine_v2020,7,0
Animalia,Chordata,Aves,Passeriformes,Icteridae,bli_marine_v2020,4,0
Animalia,Chordata,Aves,Passeriformes,Leiotrichidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Passeriformes,Locustellidae,bli_marine_v2020,3,0
Animalia,Chordata,Aves,Passeriformes,Meliphagidae,bli_marine_v2020,1,0
Animalia,Chordata,Aves,Passeriformes,Motacillidae,bli_marine_v2020,9,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,bli_marine_v2020,5,0
