comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,year,cat,cat_txt,cat_score,eval_yr,cat_2016_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1965,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1966,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1967,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1968,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1969,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1970,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1971,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1972,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1973,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1974,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1975,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1976,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1977,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1978,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1979,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1980,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1981,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1982,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
