"Taxonkey","TaxonName","CommonName","forage_fish"
1e+05,"Marine animals","Marine animals",NA
100025,"Miscellaneous diadromous fishes","Diadromous fishes",NA
100035,"Clupeoids","Herrings sardines anchovies",NA
100036,"Scombroids","Tunas bonitos billfishes",NA
100038,"Sharks rays chimaeras","Sharks rays skates etc",NA
100039,"Marine fishes not identified","Marine fishes",NA
100043,"Homaridae/Palinuridae","Lobsters spiny-rock lobsters",NA
100044,"King crabs squat-lobsters","Craylets squat lobsters",NA
100047,"Miscellaneous marine crustaceans","Marine crustaceans",NA
100056,"Clams cockles arkshells","Clams cockles arkshells",NA
100058,"Miscellaneous marine molluscs","Marine molluscs",NA
100139,"Marine fishes not identified","Finfishes",NA
100176,"Starfish and other echinoderms","Starfishes",NA
100276,"Sea-urchins and other echinoderms","Sea urchins",NA
100338,"Sharks rays chimaeras","Cartilaginous fishes",NA
100339,"Marine fishes not identified","Pelagic fishes",NA
100345,"Shrimps prawns","Natantian decapods",NA
100538,"Sharks rays chimaeras","Various sharks",NA
200003,"Holocephali","Chimaeras ratfish rabbitfish",NA
200004,"Elasmobranchii","Sharks and rays",NA
290002,"Cephalopoda","Cephalopods",NA
290004,"Bivalvia","Clams",NA
290005,"Ascidiacea","Sea squirts",NA
290006,"Gastropoda","Gastropods",NA
290010,"Asteroidea","Sea stars",NA
290011,"Echinoidea","Sea urchins",NA
290012,"Holothuroidea","Sea cucumbers",NA
290022,"Crustacea","Crustaceans",NA
300003,"Chimaeriformes","Chimaeras",NA
300007,"Lamniformes","Mackerel sharks",NA
300008,"Carcharhiniformes","Ground sharks",NA
300009,"Squaliformes","Bramble sleeper dogfish sharks",NA
300014,"Rajiformes","Skates and rays",NA
300026,"Anguilliformes","Eels and morays",NA
300028,"Clupeiformes","Herrings",1
300044,"Gadiformes","Cods",NA
300059,"Scorpaeniformes","Scorpionfishes and flatheads",NA
300060,"Perciformes","Perch-likes",NA
300061,"Pleuronectiformes","Flatfishes",NA
390002,"Teuthida","Squids",NA
390006,"Sepiida","Cuttlefishes",NA
390007,"Octopoda","Octopuses",NA
390017,"Stomatopoda","Mantis shrimps",NA
400002,"Myxinidae","Hagfishes",NA
400009,"Lamnidae","Mackerel sharks white sharks",NA
400010,"Scyliorhinidae","Cat sharks",NA
400011,"Carcharhinidae","Requiem sharks",NA
400012,"Sphyrnidae","Hammerhead bonnethead scoophead shark",NA
400013,"Squalidae","Dogfish sharks",NA
400015,"Squatinidae","Angel sharks",NA
400016,"Pristidae","Sawfishes",NA
400017,"Rhinobatidae","Guitarfishes",NA
400019,"Rajidae","Skates",NA
400020,"Dasyatidae","Stingrays",NA
400022,"Myliobatidae","Eagle and manta rays",NA
400043,"Clupeidae","Herrings shads sardines menhadens",NA
400056,"Muraenidae","Moray eels",NA
400062,"Congridae","Conger and garden eels",NA
400066,"Ophichthidae","Snake eels",NA
400076,"Salmonidae","Salmonids",NA
400080,"Osmeridae","Smelts",NA
400084,"Bathylagidae","Deep-sea smelts",NA
400145,"Ariidae","Sea catfishes",NA
400160,"Synodontidae","Lizardfishes",NA
400163,"Chlorophthalmidae","Greeneyes",NA
400167,"Myctophidae","Lanternfishes",NA
400180,"Moridae","Codlings",NA
400183,"Gadidae","Cods and haddocks",NA
400185,"Macrouridae","Grenadiers or rattails",NA
400186,"Ophidiidae","Cusk-eels",NA
400189,"Batrachoididae","Toadfishes",NA
