"","sciname","common","Resilience","SpecCode"
"1","Ablennes hians","Flat needlefish","Medium",972
"2","Acanthistius brasilianus","Argentine seabass","Medium",351
"3","Acanthocardia tuberculata","Tuberculate cockle",NA,NA
"4","Acanthocybium solandri","Wahoo","Medium",89
"5","Acanthopagrus berda","Goldsilk seabream","Medium",5526
"6","Acanthopagrus bifasciatus","Twobar seabream","Medium",4543
"7","Acanthopagrus schlegelii","Blackhead seabream","Medium",6531
"8","Acanthurus monroviae","Monrovia doctorfish","Medium",1800
"9","Acetes japonicus","Akiami paste shrimp","High",25421
"10","Achirus mazatlanus","Mazatlan sole","High",10429
"11","Aequipecten opercularis","Queen scallop",NA,NA
"12","Aetobatus narinari","Spotted eagle ray","Very low",1250
"13","Aetomylaeus maculatus","Mottled eagle ray","Low",12594
"14","Aetomylaeus nichofii","Banded eagle ray",NA,10120
"15","Alectis alexandrina","Alexandria pompano","Medium",1888
"16","Alopias superciliosus","Bigeye thresher","Low",2534
"17","Alopias vulpinus","Thresher","Low",2535
"18","Alosa fallax","Twaite shad",NA,5355
"19","Alosa immaculata","Pontic shad","Medium",105
"20","Alosa pseudoharengus","Alewife","Medium",1583
"21","Alosa sapidissima","American shad","Low",1584
"22","Amblygaster sirm","Spotted sardinella","High",1501
"23","Ammodytes personatus","Pacific sandlance","High",487
"24","Anadara tuberculosa","pustulose ark",NA,NA
"25","Anarhichas denticulatus","Northern wolffish","Low",3810
"26","Anarhichas lupus","Atlantic wolffish","Low",2501
"27","Anarhichas minor","Spotted wolffish","Low",3811
"28","Anchoa nasus","Longnose anchovy","High",1163
"29","Anodontostoma chacunda","Chacunda gizzard shad","High",1619
"30","Anoplopoma fimbria","Sablefish","Very low",512
"31","Apostichopus japonicus","Japanese sea cucumber",NA,NA
"32","Aprion virescens","Green jobfish","Medium",84
"33","Apsilus fuscus","African forktail snapper","Medium",86
"34","Arca zebra","Turkey wing",NA,NA
"35","Archosargus probatocephalus","Sheepshead","Medium",441
"36","Arctica islandica","Ocean quahog",NA,NA
"37","Arctoscopus japonicus","Japanese sandfish","Medium",463
"38","Argopecten gibbus","Calico scallop",NA,NA
"39","Argopecten irradians","Atlantic bay scallop",NA,NA
"40","Argopecten purpuratus","Peruvian calico scallop",NA,NA
"41","Argyrops spinifer","King soldier bream",NA,442
"42","Argyrosomus japonicus","Japanese meagre","Low",11979
"43","Argyrosomus regius","Meagre","Low",418
"44","Ariomma indicum","Indian driftfish","High",1300
"45","Aristeus antennatus","Blue and red shrimp",NA,NA
"46","Aristeus varidens","Striped red shrimp",NA,NA
"47","Arripis trutta","Australian salmon","Medium",5048
"48","Artemesia longinaris","Argentine stiletto shrimp",NA,NA
"49","Aspistor quadriscutis","Bressou sea catfish","Medium",956
"50","Asterias rubens","Red starfish",NA,NA
"51","Atheresthes evermanni","Kamchatka flounder","Low",518
"52","Atheresthes stomias","Arrowtooth flounder","Low",517
"53","Atherina boyeri","Big-scale sand smelt","Medium",1696
"54","Atrobucca nibe","Blackmouth croaker","Medium",941
"55","Atule mate","Yellowtail scad","High",1893
"56","Aulacomya ater","Chilean ribbed mussel",NA,NA
"57","Auxis rochei","Bullet tuna","Medium",93
"58","Auxis thazard","Frigate tuna",NA,94
"59","Bagre bagre","Coco sea catfish","Low",958
"60","Balistes capriscus","Grey triggerfish","Medium",7327
"61","Balistes polylepis","Finescale triggerfish","Low",4276
"62","Belone belone","Garfish","Medium",47
"63","Beryx splendens","Splendid alfonsino","Low",1320
"64","Boops boops","Bogue","Medium",203
"65","Boreogadus saida","Polar cod","Medium",319
"66","Brachydeuterus auritus","Bigeye grunt","Medium",400
"67","Brama australis","Southern rays bream","Low",54793
"68","Brama brama","Atlantic pomfret","Low",391
"69","Branchiostegus japonicus","Horsehead tilefish","Medium",4593
"70","Bregmaceros mcclellandi","Unicorn cod","High",8421
"71","Brevoortia patronus","Gulf menhaden","Medium",1589
"72","Brevoortia pectinata","Argentine menhaden","High",1590
"73","Brevoortia tyrannus","Atlantic menhaden","Medium",1592
"74","Brotula barbata","Bearded brotula","Medium",486
"75","Brotula clarkae","Pacific bearded brotula","High",8275
"76","Buccinum undatum","Whelk",NA,NA
"77","Buglossidium luteum","Solenette","Medium",53
"78","Caesio cuning","Redbelly yellowtail fusilier","Medium",919
"79","Callinectes arcuatus","Arched swimming crab",NA,NA
"80","Callinectes sapidus","Blue crab",NA,NA
"81","Callinectes toxotes","Giant swimcrab",NA,NA
"82","Callionymus lyra","Dragonet","Medium",23
"83","Callorhinchus milii","Ghost shark","Low",4722
"84","Cancer borealis","Jonah crab",NA,NA
"85","Cancer irroratus","Atlantic rock crab",NA,NA
"86","Cancer pagurus","Edible crab",NA,NA
