iucn_sid,range_km2,sciname,dbf_file
222,7673.250002861023,Acipenser brevirostrum,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
224,18411.24999809265,Acipenser naccarii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
225,0,Acipenser nudiventris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
229,170494.00005602837,Acipenser stellatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
230,911532.7500362396,Acipenser sturio,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
232,142916.50005054474,Acipenser gueldenstaedtii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
233,459308.24991321564,Acipenser medirostris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
234,175008.99996852875,Acipenser transmontanus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
235,0,Acipenser persicus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
241,203449.00000286102,Acipenser mikadoi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
244,21704.99999809265,Acipenser baerii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
245,1312337.750066042,Acipenser oxyrinchus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
249,139863.2500436306,Acipenser nudiventris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
249,139863.2500436306,Acipenser nudiventris Black Sea and Sea of Azov subpopulation,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/STURGEONS_PADDLEFISHES.dbf
907,1390.0000133514404,Alosa immaculata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2024-1/CLUPEIFORMES.dbf
