comname,sciname,ico_gl,ico_rgn_id,iucn_sid,subpop,cat_2016,year,assess_year,cat,cat_txt,cat_score,eval_yr,cat_2016_score
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1965,1965,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1966,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1967,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1968,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1969,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1970,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1971,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1972,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1973,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1974,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1975,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1976,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1977,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1978,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1979,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1980,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1981,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1982,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1983,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1984,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1985,NA,CR,"""Very rare but believed to be stable or increasing""",0.8,1965,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1986,1986,EN,Endangered,0.6,1986,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1987,NA,EN,Endangered,0.6,1986,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1988,1988,EN,Endangered,0.6,1988,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1989,NA,EN,Endangered,0.6,1988,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1990,1990,VU,Vulnerable,0.4,1990,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1991,NA,VU,Vulnerable,0.4,1990,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1992,NA,VU,Vulnerable,0.4,1990,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1993,NA,VU,Vulnerable,0.4,1990,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1994,1994,VU,Vulnerable,0.4,1994,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1995,NA,VU,Vulnerable,0.4,1994,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1996,1996,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1997,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1998,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,1999,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2000,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2001,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2002,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2003,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2004,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2005,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2006,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2007,NA,CD,Lower Risk/conservation dependent,0.3,1996,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2008,2008,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2009,NA,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2010,NA,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2011,NA,LC,Least Concern,0,2008,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2012,2008,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2013,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2014,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2015,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2016,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2017,NA,LC,Least Concern,0,2012,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2018,2018,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2019,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2020,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2021,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2467,NA,LC,2022,NA,LC,Least Concern,0,2018,0
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1965,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1966,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1967,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1968,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1969,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1970,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1971,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1972,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1973,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1974,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1975,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1976,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1977,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1978,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1979,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1980,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1981,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1982,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1983,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1984,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1985,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1986,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1987,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1988,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1989,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1990,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1991,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1992,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1993,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1994,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1995,NA,CD,Lower Risk/conservation dependent,0.3,NA,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1996,1996,CD,Lower Risk/conservation dependent,0.3,1996,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1997,NA,CD,Lower Risk/conservation dependent,0.3,1996,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1998,NA,CD,Lower Risk/conservation dependent,0.3,1996,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,1999,NA,CD,Lower Risk/conservation dependent,0.3,1996,NA
Bowhead whale,Balaena mysticetus,TRUE,NA,2468,Bering-Chukchi-Beaufort Sea subpopulation,LR/cd,2000,NA,CD,Lower Risk/conservation dependent,0.3,1996,NA
