rgn_id,year,arrivals_method,arrivals_gapfilled
5,2008,UNWTO,NA
5,2009,UNWTO,NA
5,2010,UNWTO,NA
5,2011,UNWTO,NA
5,2012,UNWTO,NA
5,2013,UNWTO,NA
5,2014,UNWTO,NA
5,2015,UNWTO,NA
5,2016,UNWTO,NA
5,2017,UNWTO,NA
5,2018,UNWTO,NA
5,2019,UNWTO,NA
5,2020,UNWTO,NA
5,2021,UNWTO,NA
6,2008,UNWTO,NA
6,2009,UNWTO,NA
6,2010,UNWTO,NA
6,2011,UNWTO,NA
6,2012,UNWTO,NA
6,2013,UNWTO,NA
6,2014,UNWTO,NA
6,2015,UNWTO,NA
6,2016,UNWTO,NA
6,2017,UNWTO,NA
6,2018,UNWTO,NA
6,2019,UNWTO,NA
6,2020,UNWTO,NA
6,2021,2020 and 2021 gapfill method,gapfilled
7,2008,UNWTO,NA
7,2009,UNWTO,NA
7,2010,UNWTO,NA
7,2011,UNWTO,NA
7,2012,UNWTO,NA
7,2013,UNWTO,NA
7,2014,UNWTO,NA
7,2015,UNWTO,NA
7,2016,UNWTO,NA
7,2017,UNWTO,NA
7,2018,UNWTO,NA
7,2019,UNWTO,NA
7,2020,UNWTO,NA
7,2021,UNWTO,NA
8,2008,UNWTO,NA
8,2009,UNWTO,NA
8,2010,UNWTO,NA
8,2011,UNWTO,NA
8,2012,UNWTO,NA
8,2013,UNWTO,NA
8,2014,UNWTO,NA
8,2015,UNWTO,NA
8,2016,UNWTO,NA
8,2017,UNWTO,NA
8,2018,UNWTO,NA
8,2019,UNWTO,NA
8,2020,UNWTO,NA
8,2021,2020 and 2021 gapfill method,gapfilled
9,2008,UNWTO,NA
9,2009,UNWTO,NA
9,2010,UNWTO,NA
9,2011,UNWTO,NA
9,2012,UNWTO,NA
9,2013,UNWTO,NA
9,2014,UNWTO,NA
9,2015,UNWTO,NA
9,2016,UNWTO,NA
9,2017,nearby year,gapfilled
9,2018,UNWTO,NA
9,2019,UNWTO,NA
9,2020,2020 and 2021 gapfill method,gapfilled
9,2021,2020 and 2021 gapfill method,gapfilled
11,2008,UNWTO,NA
11,2009,UNWTO,NA
11,2010,UNWTO,NA
11,2011,UNWTO,NA
11,2012,UNWTO,NA
11,2013,nearby year,gapfilled
11,2014,UNWTO,NA
11,2015,UNWTO,NA
11,2016,UNWTO,NA
11,2017,UNWTO,NA
11,2018,UNWTO,NA
11,2019,UNWTO,NA
11,2020,UNWTO,NA
11,2021,2020 and 2021 gapfill method,gapfilled
13,2008,UNWTO,NA
13,2009,UNWTO,NA
13,2010,UNWTO,NA
13,2011,UNWTO,NA
13,2012,UNWTO,NA
13,2013,UNWTO,NA
13,2014,UNWTO,NA
13,2015,UNWTO,NA
13,2016,UNWTO,NA
13,2017,UNWTO,NA
13,2018,UNWTO,NA
13,2019,UNWTO,NA
13,2020,UNWTO,NA
13,2021,2020 and 2021 gapfill method,gapfilled
15,2008,UNWTO,NA
15,2009,UNWTO,NA
15,2010,UNWTO,NA
15,2011,UNWTO,NA
15,2012,UNWTO,NA
15,2013,UNWTO,NA
15,2014,UNWTO,NA
15,2015,UNWTO,NA
