year,rgn_id,tonnes,product
1976,14,118,fish_oil
1976,16,21,fish_oil
1976,20,17,fish_oil
1976,51,21,fish_oil
1976,52,2,fish_oil
1976,59,890,fish_oil
1976,62,4098,fish_oil
1976,76,30,fish_oil
1976,102,14200,fish_oil
1976,115,0.1,fish_oil
1976,126,0.1,fish_oil
1976,127,0.4954430891909566,fish_oil
1976,129,11721,fish_oil
1976,134,0.1,fish_oil
1976,137,3853,fish_oil
1976,138,22,fish_oil
1976,139,5,fish_oil
1976,141,6332,fish_oil
1976,143,29669,fish_oil
1976,145,9,fish_oil
1976,163,81299,fish_oil
1976,171,42,fish_oil
1976,175,85652,fish_oil
1976,176,6828,fish_oil
1976,177,11776,fish_oil
1976,179,5345,fish_oil
1976,180,3093,fish_oil
1976,181,2006,fish_oil
1976,182,5992,fish_oil
1976,183,6045,fish_oil
1976,184,25,fish_oil
1976,195,24,fish_oil
1976,203,189,fish_oil
1976,206,1,fish_oil
1976,210,72908,fish_oil
1976,216,23,fish_oil
1976,218,10102,fish_oil
1976,222,5034,fish_oil
1976,223,148869,fish_oil
1976,224,20234,fish_oil
1977,14,110,fish_oil
1977,15,218,fish_oil
1977,16,56,fish_oil
1977,20,79,fish_oil
1977,51,30,fish_oil
1977,52,0,fish_oil
1977,59,376,fish_oil
1977,62,5937,fish_oil
1977,76,1245,fish_oil
1977,102,500,fish_oil
1977,115,0,fish_oil
1977,126,0.1,fish_oil
1977,127,0,fish_oil
1977,129,12365,fish_oil
1977,134,1,fish_oil
1977,137,4506,fish_oil
1977,138,0,fish_oil
1977,139,0,fish_oil
1977,141,6003,fish_oil
1977,143,71416,fish_oil
1977,145,0,fish_oil
1977,163,41111,fish_oil
1977,171,7,fish_oil
1977,172,101,fish_oil
1977,175,74462,fish_oil
1977,176,4860,fish_oil
1977,177,9805,fish_oil
1977,179,5375,fish_oil
1977,180,4484,fish_oil
1977,181,1713,fish_oil
1977,182,2686,fish_oil
1977,183,5501,fish_oil
1977,184,10,fish_oil
1977,195,6,fish_oil
1977,203,45,fish_oil
1977,206,12,fish_oil
1977,210,106957,fish_oil
1977,216,838,fish_oil
1977,218,16025,fish_oil
1977,222,2882.1,fish_oil
1977,223,141300,fish_oil
1977,224,26017,fish_oil
1978,14,73,fish_oil
1978,15,213,fish_oil
1978,16,62,fish_oil
1978,18,6,fish_oil
1978,20,14,fish_oil
1978,51,0,fish_oil
1978,52,1,fish_oil
1978,59,334,fish_oil
1978,62,6441,fish_oil
1978,76,30,fish_oil
1978,102,11621.789969120997,fish_oil
1978,115,0,fish_oil
1978,126,0,fish_oil
1978,127,0,fish_oil
1978,129,4174,fish_oil
1978,134,0.1,fish_oil
1978,137,7500,fish_oil
1978,138,155,fish_oil
1978,139,0,fish_oil
1978,141,6492,fish_oil
1978,143,72959,fish_oil
1978,145,0,fish_oil
1978,163,100703,fish_oil
1978,171,1,fish_oil
1978,172,292,fish_oil
1978,175,66077.1,fish_oil
1978,176,6416,fish_oil
1978,177,8467,fish_oil
1978,179,4973,fish_oil
1978,180,3977,fish_oil
1978,181,2955,fish_oil
1978,182,1795,fish_oil
1978,183,3760,fish_oil
1978,184,375,fish_oil
1978,195,0,fish_oil
1978,203,262,fish_oil
1978,206,0,fish_oil
1978,210,210429,fish_oil
1978,216,1215,fish_oil
1978,218,9386,fish_oil
1978,222,2310,fish_oil
1978,223,82817,fish_oil
1978,224,55897,fish_oil
1979,14,62,fish_oil
1979,15,292,fish_oil
1979,16,1,fish_oil
1979,18,0.1,fish_oil
1979,20,9,fish_oil
1979,25,0.1,fish_oil
1979,43,0.2,fish_oil
1979,51,15,fish_oil
1979,52,0,fish_oil
1979,59,487,fish_oil
1979,62,6848,fish_oil
1979,66,374,fish_oil
1979,76,0,fish_oil
1979,102,13300,fish_oil
1979,115,0,fish_oil
1979,126,0,fish_oil
1979,127,0,fish_oil
1979,129,3626,fish_oil
1979,134,0.1,fish_oil
1979,137,3000,fish_oil
1979,138,47307,fish_oil
1979,139,0,fish_oil
1979,141,2974,fish_oil
1979,143,91527,fish_oil
1979,145,0,fish_oil
1979,163,90036,fish_oil
1979,171,0,fish_oil
